Wavelength_nm	Reactant_normalized	PSS_normalized_to_reactant	Reactant_reconstructed_M-1_cm-1	PSS_reconstructed_M-1_cm-1	Product_epsilon_M-1_cm-1	Product_epsilon_raw_M-1_cm-1	Product_lower_nonnegative_M-1_cm-1	Product_upper_nonnegative_M-1_cm-1	Product_error_lower_M-1_cm-1	Product_error_upper_M-1_cm-1
2.58000000e+02	1.20587941e-01	1.43621283e-01	2.76767776e+03	3.29632820e+03	5.17063432e+03	5.17063432e+03	5.01549383e+03	5.33791407e+03	1.55140485e+02	1.67279754e+02
2.58100000e+02	1.21062224e-01	1.43741285e-01	2.77856328e+03	3.29908243e+03	5.14455941e+03	5.14455941e+03	4.99127059e+03	5.30980078e+03	1.53288818e+02	1.65241370e+02
2.58200000e+02	1.21543109e-01	1.43872359e-01	2.78960034e+03	3.30209078e+03	5.11910234e+03	5.11910234e+03	4.96763894e+03	5.28233393e+03	1.51463401e+02	1.63231592e+02
2.58300000e+02	1.22031507e-01	1.44014633e-01	2.80080981e+03	3.30535620e+03	5.09420250e+03	5.09420250e+03	4.94454238e+03	5.25544839e+03	1.49660121e+02	1.61245894e+02
2.58400000e+02	1.22527673e-01	1.44167833e-01	2.81219759e+03	3.30887236e+03	5.06981020e+03	5.06981020e+03	4.92193411e+03	5.22909130e+03	1.47876087e+02	1.59281106e+02
2.58500000e+02	1.23031803e-01	1.44331571e-01	2.82376813e+03	3.31263039e+03	5.04586932e+03	5.04586932e+03	4.89976119e+03	5.20320307e+03	1.46108132e+02	1.57333755e+02
2.58600000e+02	1.23544023e-01	1.44505347e-01	2.83552436e+03	3.31661883e+03	5.02231741e+03	5.02231741e+03	4.87796459e+03	5.17771748e+03	1.44352817e+02	1.55400069e+02
2.58700000e+02	1.24064428e-01	1.44688784e-01	2.84746846e+03	3.32082899e+03	4.99910721e+03	4.99910721e+03	4.85649967e+03	5.15258442e+03	1.42607541e+02	1.53477201e+02
2.58800000e+02	1.24592818e-01	1.44884193e-01	2.85959581e+03	3.32531392e+03	4.97649628e+03	4.97649628e+03	4.83561012e+03	5.12807662e+03	1.40886165e+02	1.51580334e+02
2.58900000e+02	1.25125576e-01	1.45088164e-01	2.87182342e+03	3.32999538e+03	4.95442322e+03	4.95442322e+03	4.81523422e+03	5.10413311e+03	1.39189003e+02	1.49709892e+02
2.59000000e+02	1.25663608e-01	1.45301342e-01	2.88417210e+03	3.33488813e+03	4.93288136e+03	4.93288136e+03	4.79536655e+03	5.08074585e+03	1.37514808e+02	1.47864489e+02
2.59100000e+02	1.26207721e-01	1.45524248e-01	2.89666031e+03	3.34000418e+03	4.91185969e+03	4.91185969e+03	4.77599749e+03	5.05790229e+03	1.35862200e+02	1.46042595e+02
2.59200000e+02	1.26758618e-01	1.45757286e-01	2.90930425e+03	3.34535275e+03	4.89134291e+03	4.89134291e+03	4.75711324e+03	5.03558545e+03	1.34229670e+02	1.44242543e+02
2.59300000e+02	1.27316267e-01	1.46000094e-01	2.92210314e+03	3.35092557e+03	4.87129601e+03	4.87129601e+03	4.73868061e+03	5.01375835e+03	1.32615394e+02	1.42462338e+02
2.59400000e+02	1.27881445e-01	1.46251494e-01	2.93507484e+03	3.35669558e+03	4.85153275e+03	4.85153275e+03	4.72052402e+03	4.99222305e+03	1.31008726e+02	1.40690298e+02
2.59500000e+02	1.28456792e-01	1.46511594e-01	2.94827994e+03	3.36266528e+03	4.83184965e+03	4.83184965e+03	4.70245339e+03	4.97076134e+03	1.29396263e+02	1.38911691e+02
2.59600000e+02	1.29041157e-01	1.46779700e-01	2.96169201e+03	3.36881870e+03	4.81226788e+03	4.81226788e+03	4.68448761e+03	4.94939689e+03	1.27780267e+02	1.37129016e+02
2.59700000e+02	1.29633314e-01	1.47054986e-01	2.97528293e+03	3.37513695e+03	4.79280124e+03	4.79280124e+03	4.66663856e+03	4.92814567e+03	1.26162679e+02	1.35344428e+02
2.59800000e+02	1.30231966e-01	1.47336504e-01	2.98902289e+03	3.38159822e+03	4.77345620e+03	4.77345620e+03	4.64891107e+03	4.90701593e+03	1.24545126e+02	1.33559736e+02
2.59900000e+02	1.30839253e-01	1.47627287e-01	3.00296106e+03	3.38827214e+03	4.75437504e+03	4.75437504e+03	4.63144201e+03	4.88615589e+03	1.22933039e+02	1.31780842e+02
2.60000000e+02	1.31456914e-01	1.47930526e-01	3.01713733e+03	3.39523193e+03	4.73574914e+03	4.73574914e+03	4.61441428e+03	4.86576608e+03	1.21334852e+02	1.30016944e+02
2.60100000e+02	1.32084446e-01	1.48246346e-01	3.03154015e+03	3.40248048e+03	4.71763254e+03	4.71763254e+03	4.59787861e+03	4.84590428e+03	1.19753929e+02	1.28271739e+02
2.60200000e+02	1.32721747e-01	1.48574810e-01	3.04616718e+03	3.41001922e+03	4.70004011e+03	4.70004011e+03	4.58184895e+03	4.82658631e+03	1.18191159e+02	1.26546203e+02
2.60300000e+02	1.33368679e-01	1.48915906e-01	3.06101526e+03	3.41784791e+03	4.68298185e+03	4.68298185e+03	4.56633464e+03	4.80782292e+03	1.16647208e+02	1.24841068e+02
2.60400000e+02	1.34025071e-01	1.49269551e-01	3.07608045e+03	3.42596460e+03	4.66646294e+03	4.66646294e+03	4.55134042e+03	4.78961977e+03	1.15122522e+02	1.23156825e+02
2.60500000e+02	1.34689451e-01	1.49633901e-01	3.09132899e+03	3.43432699e+03	4.65041080e+03	4.65041080e+03	4.53679609e+03	4.77190168e+03	1.13614703e+02	1.21490881e+02
2.60600000e+02	1.35358230e-01	1.50006332e-01	3.10667849e+03	3.44287486e+03	4.63484380e+03	4.63484380e+03	4.52271553e+03	4.75469206e+03	1.12128273e+02	1.19848266e+02
2.60700000e+02	1.36030937e-01	1.50386187e-01	3.12211815e+03	3.45159311e+03	4.61973162e+03	4.61973162e+03	4.50906954e+03	4.73795936e+03	1.10662087e+02	1.18227739e+02
2.60800000e+02	1.36707566e-01	1.50773010e-01	3.13764782e+03	3.46047130e+03	4.60502727e+03	4.60502727e+03	4.49581361e+03	4.72165384e+03	1.09213659e+02	1.16626574e+02
2.60900000e+02	1.37388036e-01	1.51166241e-01	3.15326565e+03	3.46949654e+03	4.59067880e+03	4.59067880e+03	4.48289848e+03	4.70572064e+03	1.07780314e+02	1.15041845e+02
2.61000000e+02	1.38072193e-01	1.51565214e-01	3.16896811e+03	3.47865359e+03	4.57662936e+03	4.57662936e+03	4.47027018e+03	4.69009978e+03	1.06359188e+02	1.13470419e+02
2.61100000e+02	1.38761831e-01	1.51972093e-01	3.18479634e+03	3.48799209e+03	4.56295881e+03	4.56295881e+03	4.45800607e+03	4.67487377e+03	1.04952746e+02	1.11914955e+02
2.61200000e+02	1.39455052e-01	1.52382997e-01	3.20070683e+03	3.49742295e+03	4.54941645e+03	4.54941645e+03	4.44586689e+03	4.65977943e+03	1.03549563e+02	1.10362982e+02
2.61300000e+02	1.40152387e-01	1.52798437e-01	3.21671174e+03	3.50695794e+03	4.53601267e+03	4.53601267e+03	4.43386301e+03	4.64482719e+03	1.02149667e+02	1.08814519e+02
2.61400000e+02	1.40854288e-01	1.53218811e-01	3.23282144e+03	3.51660617e+03	4.52275203e+03	4.52275203e+03	4.42199918e+03	4.63002136e+03	1.00752853e+02	1.07269331e+02
2.61500000e+02	1.41561130e-01	1.53644399e-01	3.24904455e+03	3.52637407e+03	4.50963326e+03	4.50963326e+03	4.41027458e+03	4.61536019e+03	9.93586827e+01	1.05726932e+02
