Wavelength_nm,Reactant_normalized,PSS_normalized_to_reactant,Reactant_reconstructed_M-1_cm-1,Reactant_lower_M-1_cm-1,Reactant_upper_M-1_cm-1,PSS_reconstructed_M-1_cm-1,Product_epsilon_M-1_cm-1,Product_epsilon_raw_M-1_cm-1,Product_lower_nonnegative_M-1_cm-1,Product_upper_nonnegative_M-1_cm-1,Product_error_lower_M-1_cm-1,Product_error_upper_M-1_cm-1
469.01739500000002,0.155089278,0.221935774,2330.3718100000001,2301.5123199999998,2359.2313100000001,3334.8074000000001,3634.8336100000001,3634.8336100000001,3573.3028100000001,3697.2241899999999,61.530804400000001,62.390575699999999
469.60702500000002,0.14855893100000001,0.21747272200000001,2232.2467999999999,2204.6024900000002,2259.89111,3267.7455799999998,3577.0504099999998,3577.0504099999998,3515.7244000000001,3639.26278,61.326010599999996,62.2123712
470.19665500000002,0.142080079,0.21318699799999999,2134.8955599999999,2108.45685,2161.3342600000001,3203.34827,3522.49649,3522.49649,3461.3041899999998,3584.6033499999999,61.192299499999997,62.106867800000003
470.786224,0.13552361900000001,0.20865779200000001,2036.3781799999999,2011.1595299999999,2061.5968400000002,3135.29241,3463.5395199999998,3463.5395199999998,3402.5764399999998,3525.4432400000001,60.963075799999999,61.903718400000002
471.37576300000001,0.12943633099999999,0.20434861300000001,1944.91058,1920.82466,1968.99649,3070.5426900000002,3406.7704600000002,3406.7704600000002,3346.07107,3468.43336,60.699387600000001,61.662900100000002
471.96530200000001,0.12355153300000001,0.20017425899999999,1856.48559,1833.4947299999999,1879.4764399999999,3007.8188300000002,3351.7235599999999,3351.7235599999999,3291.28325,3413.1493799999998,60.440307599999997,61.425819599999997
472.554779,0.11787352199999999,0.196132633,1771.16778,1749.23351,1793.10205,2947.0893500000002,3298.3386500000001,3298.3386500000001,3238.1551399999998,3359.5287199999998,60.183511000000003,61.190069999999999
473.144226,0.112337669,0.19204539900000001,1687.98605,1667.0819100000001,1708.8901900000001,2885.6745700000001,3243.42569,3243.42569,3183.5642899999998,3304.3122800000001,59.861396900000003,60.886587800000001
473.73364299999997,0.106875103,0.18795358500000001,1605.90552,1586.0178699999999,1625.7931699999999,2824.1909599999999,3188.0944100000002,3188.0944100000002,3128.5795499999999,3248.65209,59.514862399999998,60.5576838
474.32302900000002,0.101569019,0.18416739800000001,1526.1762799999999,1507.27601,1545.07656,2767.2997,3138.0248799999999,3138.0248799999999,3078.7545399999999,3198.3575900000001,59.270341299999998,60.332711400000001
474.91238399999997,0.096578555799999993,0.18056324300000001,1451.18958,1433.21794,1469.16122,2713.1436600000002,3090.0909799999999,3090.0909799999999,3031.0717199999999,3150.1904399999999,59.019260000000003,60.0994606
475.50170900000001,0.091736339700000002,0.176795906,1378.4304299999999,1361.3598500000001,1395.50101,2656.5356499999998,3038.3073399999998,3038.3073399999998,2979.6637900000001,3098.0449199999998,58.643554199999997,59.737579799999999
476.09097300000002,0.087085664300000004,0.17302311200000001,1308.54937,1292.3442,1324.7545399999999,2599.84564,2985.5575199999998,2985.5575199999998,2927.3503099999998,3044.8700399999998,58.207207799999999,59.312524500000002
476.68023699999998,0.082575209100000005,0.16920704,1240.7752599999999,1225.40941,1256.14111,2542.50533,2931.3337900000001,2931.3337900000001,2873.62653,2990.1553100000001,57.7072687,58.821516600000002
477.26947000000001,0.078119907299999999,0.16518955599999999,1173.82989,1159.2930899999999,1188.3666800000001,2482.1386000000002,2872.9321199999999,2872.9321199999999,2815.8399199999999,2931.14419,57.092196199999997,58.2120751
477.85864299999997,0.073716264099999998,0.161113328,1107.66074,1093.9433899999999,1121.3780899999999,2420.8892000000001,2813.1522399999999,2813.1522399999999,2756.7194599999998,2870.7091099999998,56.432777199999997,57.556867400000002
478.44781499999999,0.069510245799999995,0.157219365,1044.4611,1031.5264199999999,1057.3957800000001,2362.3784999999998,2756.04214,2756.04214,2700.2395200000001,2812.9728700000001,55.802625800000001,56.930729499999998
479.03692599999999,0.065651151199999994,0.15369105299999999,986.474334,974.25776399999995,998.69090400000005,2309.3620799999999,2704.51037,2704.51037,2649.2641800000001,2760.8889100000001,55.246183899999998,56.378542199999998
479.62603799999999,0.062115005199999997,0.150308094,933.34019699999999,921.78164400000003,944.89874999999995,2258.5297399999999,2654.3655699999999,2654.3655699999999,2599.7025400000002,2710.1629400000002,54.6630374,55.797365999999997
480.21508799999998,0.058820900500000002,0.14685944200000001,883.84297300000003,872.89739699999996,894.78854899999999,2206.7102799999998,2601.8524600000001,2601.8524600000001,2547.8779300000001,2656.9593199999999,53.974524799999998,55.106865499999998
480.80410799999999,0.055815105699999999,0.14355659100000001,838.67789400000004,828.29164500000002,849.06414199999995,2157.0816399999999,2550.8905500000001,2550.8905500000001,2497.6205399999999,2605.28908,53.270010800000001,54.398530899999997
481.39309700000001,0.052758817999999999,0.14030593799999999,792.75410799999997,782.93658300000004,802.57163300000002,2108.23731,2501.1738500000001,2501.1738500000001,2448.56756,2554.90616,52.606290600000001,53.7323108
481.982056,0.0497108863,0.13694082899999999,746.95588099999998,737.70552499999997,756.20623699999999,2057.67317,2449.18613,2449.18613,2397.3020299999998,2502.1921699999998,51.884101200000003,53.0060419
482.57098400000001,0.046894049399999999,0.13369194200000001,704.63008400000001,695.90389300000004,713.35627399999998,2008.8553999999999,2398.4291899999998,2398.4291899999998,2347.28042,2450.6943500000002,51.148770599999999,52.265154299999999
483.15988199999998,0.0438967257,0.13016288100000001,659.59229100000005,651.42385200000001,667.76072999999997,1955.82772,2343.0149299999998,2343.0149299999998,2292.6837999999998,2394.45561,50.331132099999998,51.440676699999997
483.74874899999998,0.040771866900000002,0.12632380300000001,612.63815699999998,605.05120099999999,620.22511299999996,1898.1417200000001,2282.1233000000002,2282.1233000000002,2232.72273,2332.6242299999999,49.400572799999999,50.500931199999997
484.33758499999999,0.037995462200000003,0.122883536,570.919893,563.84957999999995,577.99020700000005,1846.4482700000001,2227.4502499999999,2227.4502499999999,2178.8907800000002,2277.1015400000001,48.559467599999998,49.651287400000001
484.92636099999999,0.035535020799999997,0.119789042,533.949297,527.33682999999996,540.56176400000004,1799.95039,2178.1065600000002,2178.1065600000002,2130.3148299999998,2226.9819499999999,47.791726799999999,48.875391499999999
485.51513699999998,0.0337897895,0.11722679799999999,507.72544799999997,501.43773900000002,514.01315699999998,1761.45012,2135.9393,2135.9393,2088.87165,2184.0801099999999,47.067653100000001,48.140809500000003
486.103882,0.0322391499,0.114986957,484.42553400000003,478.42637300000001,490.42469499999999,1727.7942499999999,2099.1900999999998,2099.1900999999998,2052.7478500000002,2146.6966499999999,46.442256899999997,47.506548899999999
486.692566,0.030756258799999998,0.11270648599999999,462.14360799999997,456.420388,467.866828,1693.5278900000001,2061.3439800000001,2061.3439800000001,2015.5674799999999,2108.1745099999998,45.776497800000001,46.830531399999998
487.28121900000002,0.029802828900000002,0.110597031,447.81736899999999,442.27156600000001,453.36317200000002,1661.83122,2024.4587300000001,2024.4587300000001,1979.4246599999999,2070.53197,45.034071900000001,46.073236899999998
487.86987299999998,0.0281544234,0.10782006600000001,423.04842400000001,417.80936100000002,428.287486,1620.10454,1977.6667600000001,1977.6667600000001,1933.49101,2022.86715,44.175746699999998,45.200396300000001
488.45846599999999,0.0264692279,0.104943387,397.72667300000001,392.801197,402.65214900000001,1576.8795500000001,1929.0940499999999,1929.0940499999999,1885.81423,1973.3832,43.279821200000001,44.289146000000002
489.04702800000001,0.024929255399999999,0.102320017,374.58704299999999,369.94812999999999,379.225956,1537.4607900000001,1884.81269,1884.81269,1842.3489400000001,1928.2718199999999,42.463746299999997,43.459136700000002
489.635559,0.0235426917,0.099926586600000006,353.75253400000003,349.37163700000002,358.13343200000003,1501.4971,1844.32989,1844.32989,1802.61627,1887.02595,41.713622800000003,42.696063000000002
490.22406000000001,0.022658521800000001,0.097688047099999994,340.466995,336.25062700000001,344.68336299999999,1467.8607999999999,1804.6147900000001,1804.6147900000001,1763.72765,1846.46696,40.887143899999998,41.852164299999998
490.81253099999998,0.021543008700000001,0.095275926799999994,323.70529299999998,319.69650300000001,327.71408300000002,1431.61627,1762.55072,1762.55072,1722.50488,1803.5449100000001,40.0458474,40.994191000000001
491.40096999999997,0.0203905001,0.092748366999999998,306.387697,302.593369,310.18202500000001,1393.63715,1718.3999799999999,1718.3999799999999,1679.24065,1758.4899600000001,39.159326900000003,40.089984800000003
491.989349,0.019413285400000001,0.090237985000000007,291.70406700000001,288.09158300000001,295.316551,1355.91615,1673.7976799999999,1673.7976799999999,1635.56954,1712.93677,38.228146299999999,39.139084799999999
492.57772799999998,0.018005071599999999,0.087586104799999995,270.54424299999999,267.193803,273.89468299999999,1316.06899,1628.36859,1628.36859,1591.0103300000001,1666.6217899999999,37.358257999999999,38.2532006
493.16604599999999,0.016861571400000001,0.085178538799999995,253.36200700000001,250.22435300000001,256.49966000000001,1279.8929000000001,1586.51901,1586.51901,1549.99135,1623.92536,36.527658199999998,37.406342500000001
493.75436400000001,0.015514706099999999,0.082477339600000005,233.12400600000001,230.23698099999999,236.011031,1239.30468,1539.8521499999999,1539.8521499999999,1504.23705,1576.3285100000001,35.615096899999998,36.476361900000001
494.34262100000001,0.014481990599999999,0.080117039000000001,217.60642100000001,214.91156699999999,220.301275,1203.83879,1498.42769,1498.42769,1463.65362,1534.04594,34.774067100000003,35.618256899999999
494.93084700000003,0.013811824,0.078046109799999999,207.536496,204.96634900000001,210.10664399999999,1172.72101,1461.02287,1461.02287,1427.0581400000001,1495.81378,33.964735900000001,34.790909200000002
495.51907299999999,0.0131505293,0.075944229500000002,197.59988000000001,195.15278900000001,200.04697100000001,1141.13815,1422.97426,1422.97426,1389.8366599999999,1456.91949,33.137592099999999,33.945236800000004
496.10723899999999,0.0126393792,0.074097963700000005,189.91933900000001,187.567364,192.27131399999999,1113.39616,1389.2398800000001,1389.2398800000001,1356.84995,1422.42029,32.389936200000001,33.180408800000002
496.69537400000002,0.012106871,0.072231660399999995,181.917869,179.664985,184.17075299999999,1085.3530800000001,1355.2103500000001,1355.2103500000001,1323.5714,1387.6226200000001,31.638951299999999,32.412268900000001
497.283478,0.0116704458,0.0704182312,175.36014299999999,173.18847,177.53181599999999,1058.1044899999999,1321.7813699999999,1321.7813699999999,1290.8966399999999,1353.4217000000001,30.8847275,31.640334200000002
497.87152099999997,0.0111295391,0.068586190500000005,167.23247699999999,165.16145800000001,169.303496,1030.5762400000001,1288.45814,1288.45814,1258.30511,1319.3501799999999,30.153030600000001,30.892030900000002
498.459564,0.010420491299999999,0.066633345799999993,156.57832400000001,154.63924700000001,158.517402,1001.23279,1253.5321799999999,1253.5321799999999,1224.1189999999999,1283.6683599999999,29.413181399999999,30.136184199999999
499.04757699999999,0.0098625979200000005,0.064829741100000005,148.19541699999999,146.36015399999999,150.03067999999999,974.13182500000005,1220.8400999999999,1220.8400999999999,1192.13958,1250.2476099999999,28.7005239,29.407504500000002
499.63552900000002,0.0094137245999999994,0.063206269199999998,141.45064500000001,139.69891000000001,143.202381,949.73753199999999,1191.1738700000001,1191.1738700000001,1163.13096,1219.9086600000001,28.042909600000002,28.734782599999999
