Wavelength_nm,Absorbance__2107362U1_0001A,Concentration_M__2107362U1_0001A,Path_length_cm__2107362U1_0001A,Epsilon_M-1_cm-1__2107362U1_0001A,Absorbance__2107362U1_0001B,Concentration_M__2107362U1_0001B,Path_length_cm__2107362U1_0001B,Epsilon_M-1_cm-1__2107362U1_0001B,Absorbance__2107362U1_0001C,Concentration_M__2107362U1_0001C,Path_length_cm__2107362U1_0001C,Epsilon_M-1_cm-1__2107362U1_0001C,Epsilon_mean_M-1_cm-1,Epsilon_SD_M-1_cm-1,Epsilon_SEM_M-1_cm-1,Epsilon_lower_nonnegative_M-1_cm-1,Epsilon_upper_nonnegative_M-1_cm-1
390.31320199999999,0.97727048699999997,6.8200000000000004e-05,1,14329.479300000001,0.98803146100000006,6.8700000000000003e-05,1,14381.8262,0.99701974199999999,6.7999999999999999e-05,1,14662.055,14457.7868,178.82721100000001,103.24593900000001,14278.9596,14636.614100000001
390.90701300000001,0.98162318599999998,6.8200000000000004e-05,1,14393.301799999999,0.99186665500000004,6.8700000000000003e-05,1,14437.6515,1.0013973,6.7999999999999999e-05,1,14726.430899999999,14519.1281,180.893799,104.43908399999999,14338.2343,14700.0219
391.50076300000001,0.98759376600000004,6.8200000000000004e-05,1,14480.847,0.99787603800000002,6.8700000000000003e-05,1,14525.124299999999,1.00793774,6.7999999999999999e-05,1,14822.613799999999,14609.528399999999,185.860626,107.30668300000001,14423.6677,14795.388999999999
392.09448200000003,0.99176960800000002,6.8200000000000004e-05,1,14542.0764,1.0028655099999999,6.8700000000000003e-05,1,14597.751200000001,1.01294511,6.7999999999999999e-05,1,14896.2516,14678.6931,190.45661100000001,109.960176,14488.2364,14869.1497
392.68820199999999,0.99585985200000005,6.8200000000000004e-05,1,14602.0506,1.0071025199999999,6.8700000000000003e-05,1,14659.425300000001,1.01729651,6.7999999999999999e-05,1,14960.2428,14740.572899999999,192.3905,111.076707,14548.1824,14932.963400000001
393.28185999999999,0.99758576300000001,6.8200000000000004e-05,1,14627.3572,1.00985401,6.8700000000000003e-05,1,14699.4761,1.01919721,6.7999999999999999e-05,1,14988.194299999999,14771.6759,190.94619499999999,110.24283699999999,14580.7297,14962.622100000001
393.87548800000002,1.0009107500000001,6.8200000000000004e-05,1,14676.1108,1.0133876500000001,6.8700000000000003e-05,1,14750.911899999999,1.02250577,6.7999999999999999e-05,1,15036.8495,14821.2907,190.38907499999999,109.921184,14630.9017,15011.6798
394.46911599999999,1.0045699400000001,6.8200000000000004e-05,1,14729.764499999999,1.0165829900000001,6.8700000000000003e-05,1,14797.423500000001,1.0253962599999999,6.7999999999999999e-05,1,15079.3568,14868.8482,185.41797299999999,107.051117,14683.4303,15054.2662
395.06268299999999,1.0067466599999999,6.8200000000000004e-05,1,14761.681200000001,1.01877653,6.8700000000000003e-05,1,14829.3526,1.02768591,6.7999999999999999e-05,1,15113.0281,14901.353999999999,186.41164699999999,107.624815,14714.942300000001,15087.765600000001
395.65625,1.0084293,6.8200000000000004e-05,1,14786.353300000001,1.02022082,6.8700000000000003e-05,1,14850.375899999999,1.0291207499999999,6.7999999999999999e-05,1,15134.128699999999,14923.6193,185.095584,106.864985,14738.5237,15108.714900000001
396.24975599999999,1.0111401799999999,6.8200000000000004e-05,1,14826.1023,1.0228964899999999,6.8700000000000003e-05,1,14889.323,1.03193406,6.7999999999999999e-05,1,15175.501,14963.642099999999,186.17826099999999,107.49006900000001,14777.4638,15149.820400000001
396.84326199999998,1.0123545700000001,6.8200000000000004e-05,1,14843.908600000001,1.02422664,6.8700000000000003e-05,1,14908.6847,1.03337627,6.7999999999999999e-05,1,15196.7099,14983.1011,187.804498,108.428978,14795.2966,15170.9056
397.43670700000001,1.013414,6.8200000000000004e-05,1,14859.442800000001,1.02531642,6.8700000000000003e-05,1,14924.5476,1.03451746,6.7999999999999999e-05,1,15213.492,14999.1608,188.44909200000001,108.801134,14810.7117,15187.609899999999
398.03015099999999,1.01369763,6.8200000000000004e-05,1,14863.6016,1.0260537300000001,6.8700000000000003e-05,1,14935.2798,1.0348953000000001,6.7999999999999999e-05,1,15219.048500000001,15005.976699999999,187.97380999999999,108.52673,14818.002899999999,15193.950500000001
398.623535,1.01380388,6.8200000000000004e-05,1,14865.1595,1.02612188,6.8700000000000003e-05,1,14936.272000000001,1.03526279,6.7999999999999999e-05,1,15224.4527,15008.628000000001,190.261571,109.84756899999999,14818.3665,15198.8896
399.21691900000002,1.0150408399999999,6.8200000000000004e-05,1,14883.296700000001,1.02763099,6.8700000000000003e-05,1,14958.238600000001,1.03608002,6.7999999999999999e-05,1,15236.4709,15026.0021,186.08310599999999,107.435132,14839.919,15212.0852
