Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
299.200	33422.46	3731
299.300	33411.29	3720
299.400	33400.13	3709
299.500	33388.98	3695
299.600	33377.84	3684
299.700	33366.70	3671
299.800	33355.57	3659
299.900	33344.45	3647
300.000	33333.33	3635
300.100	33322.23	3623
300.200	33311.13	3610
300.300	33300.03	3598
300.400	33288.95	3585
300.500	33277.87	3574
300.600	33266.80	3560
300.700	33255.74	3548
300.800	33244.68	3537
300.900	33233.63	3525
301.000	33222.59	3512
301.100	33211.56	3500
301.200	33200.53	3487
301.300	33189.51	3475
301.400	33178.50	3462
301.500	33167.50	3449
301.600	33156.50	3436
301.700	33145.51	3424
301.800	33134.53	3411
301.900	33123.55	3399
302.000	33112.58	3385
302.100	33101.62	3373
302.200	33090.67	3361
302.300	33079.72	3349
302.400	33068.78	3336
302.500	33057.85	3324
302.600	33046.93	3311
302.700	33036.01	3298
302.800	33025.10	3285
302.900	33014.20	3273
303.000	33003.30	3260
303.100	32992.41	3247
303.200	32981.53	3234
303.300	32970.66	3222
303.400	32959.79	3210
303.500	32948.93	3197
303.600	32938.08	3183
303.700	32927.23	3171
303.800	32916.39	3158
303.900	32905.56	3147
304.000	32894.74	3133
304.100	32883.92	3120
304.200	32873.11	3108
304.300	32862.31	3095
304.400	32851.51	3082
304.500	32840.72	3069
304.600	32829.94	3056
304.700	32819.17	3044
304.800	32808.40	3031
304.900	32797.64	3018
305.000	32786.89	3005
305.100	32776.14	2992
305.200	32765.40	2981
305.300	32754.67	2968
305.400	32743.94	2955
305.500	32733.22	2940
305.600	32722.51	2928
305.700	32711.81	2915
305.800	32701.11	2902
305.900	32690.42	2890
306.000	32679.74	2876
306.100	32669.06	2864
306.200	32658.39	2852
306.300	32647.73	2838
306.400	32637.08	2826
306.500	32626.43	2814
306.600	32615.79	2800
306.700	32605.15	2788
306.800	32594.52	2775
306.900	32583.90	2763
307.000	32573.29	2749
307.100	32562.68	2737
307.200	32552.08	2724
307.300	32541.49	2711
307.400	32530.90	2699
307.500	32520.33	2686
307.600	32509.75	2675
307.700	32499.19	2662
307.800	32488.63	2648
307.900	32478.08	2636
308.000	32467.53	2624
308.100	32456.99	2612
308.200	32446.46	2598
308.300	32435.94	2585
308.400	32425.42	2572
308.500	32414.91	2560
308.600	32404.41	2547
308.700	32393.91	2535
308.800	32383.42	2523
308.900	32372.94	2509
309.000	32362.46	2497
309.100	32351.99	2486
309.200	32341.53	2472
309.300	32331.07	2460
309.400	32320.62	2447
309.500	32310.18	2437
309.600	32299.74	2423
309.700	32289.31	2411
309.800	32278.89	2398
309.900	32268.47	2387
310.000	32258.06	2373
310.100	32247.66	2361
310.200	32237.27	2349
310.300	32226.88	2338
310.400	32216.49	2325
310.500	32206.12	2313
310.600	32195.75	2301
310.700	32185.39	2289
310.800	32175.03	2277
310.900	32164.68	2264
311.000	32154.34	2252
311.100	32144.01	2239
311.200	32133.68	2227
311.300	32123.35	2216
311.400	32113.04	2203
311.500	32102.73	2191
311.600	32092.43	2179
311.700	32082.13	2168
311.800	32071.84	2156
311.900	32061.56	2146
312.000	32051.28	2133
312.100	32041.01	2122
312.200	32030.75	2108
312.300	32020.49	2098
312.400	32010.24	2085
312.500	32000.00	2073
312.600	31989.76	2062
312.700	31979.53	2050
312.800	31969.31	2039
312.900	31959.09	2028
313.000	31948.88	2016
313.100	31938.68	2004
313.200	31928.48	1994
313.300	31918.29	1982
313.400	31908.10	1971
313.500	31897.93	1959
313.600	31887.76	1947
313.700	31877.59	1935
313.800	31867.43	1924
313.900	31857.28	1913
314.000	31847.13	1901
314.100	31836.99	1890
314.200	31826.86	1879
314.300	31816.74	1868
314.400	31806.62	1857
314.500	31796.50	1846
314.600	31786.40	1835
314.700	31776.29	1824
314.800	31766.20	1812
314.900	31756.11	1802
315.000	31746.03	1790
315.100	31735.96	1779
315.200	31725.89	1769
315.300	31715.83	1758
315.400	31705.77	1747
315.500	31695.72	1736
315.600	31685.68	1725
315.700	31675.64	1715
315.800	31665.61	1705
315.900	31655.59	1694
316.000	31645.57	1682
316.100	31635.56	1671
316.200	31625.55	1661
316.300	31615.55	1651
316.400	31605.56	1640
316.500	31595.58	1630
316.600	31585.60	1620
316.700	31575.62	1610
316.800	31565.66	1599
316.900	31555.70	1588
317.000	31545.74	1579
317.100	31535.79	1569
317.200	31525.85	1559
317.300	31515.92	1549
317.400	31505.99	1538
317.500	31496.06	1528
317.600	31486.15	1517
317.700	31476.24	1507
317.800	31466.33	1496
317.900	31456.43	1487
318.000	31446.54	1477
318.100	31436.66	1466
318.200	31426.78	1457
318.300	31416.90	1448
318.400	31407.04	1439
318.500	31397.17	1429
318.600	31387.32	1419
318.700	31377.47	1410
318.800	31367.63	1400
318.900	31357.79	1390
319.000	31347.96	1382
319.100	31338.14	1371
319.200	31328.32	1362
319.300	31318.51	1352
319.400	31308.70	1342
319.500	31298.90	1332
319.600	31289.11	1324
319.700	31279.32	1314
319.800	31269.54	1305
319.900	31259.77	1296
320.000	31250.00	1287
320.100	31240.24	1278
320.200	31230.48	1268
320.300	31220.73	1260
320.400	31210.99	1249
320.500	31201.25	1241
320.600	31191.52	1234
320.700	31181.79	1223
320.800	31172.07	1215
320.900	31162.36	1205
321.000	31152.65	1197
321.100	31142.95	1188
321.200	31133.25	1180
321.300	31123.56	1170
321.400	31113.88	1162
321.500	31104.20	1152
321.600	31094.53	1145
321.700	31084.86	1136
321.800	31075.20	1127
321.900	31065.55	1118
322.000	31055.90	1110
322.100	31046.26	1103
322.200	31036.62	1092
322.300	31026.99	1087
322.400	31017.37	1078
322.500	31007.75	1069
322.600	30998.14	1060
322.700	30988.53	1054
322.800	30978.93	1044
322.900	30969.34	1036
323.000	30959.75	1028
323.100	30950.17	1020
323.200	30940.59	1013
323.300	30931.02	1005
323.400	30921.46	996.9
323.500	30911.90	989.1
323.600	30902.35	982.2
323.700	30892.80	973.7
323.800	30883.26	967
323.900	30873.73	958.5
324.000	30864.20	950.3
324.100	30854.67	941.7
324.200	30845.16	935.3
324.300	30835.65	926.7
324.400	30826.14	920.2
324.500	30816.64	912.9
324.600	30807.15	905.3
324.700	30797.66	898.5
324.800	30788.18	890.7
324.900	30778.70	883.7
325.000	30769.23	876.2
325.100	30759.77	868.9
325.200	30750.31	861.3
325.300	30740.85	854.1
325.400	30731.41	847.8
325.500	30721.97	840.9
325.600	30712.53	833
325.700	30703.10	825.5
325.800	30693.68	819.2
325.900	30684.26	812.6
326.000	30674.85	805.4
326.100	30665.44	797.8
326.200	30656.04	791.8
326.300	30646.64	786.2
326.400	30637.25	779.5
326.500	30627.87	771.4
326.600	30618.49	766.7
326.700	30609.12	757.2
326.800	30599.76	753.6
326.900	30590.39	746
327.000	30581.04	740.4
327.100	30571.69	733
327.200	30562.35	726
327.300	30553.01	719.8
327.400	30543.68	713
327.500	30534.35	707.6
327.600	30525.03	700.5
327.700	30515.72	695.8
327.800	30506.41	689.9
327.900	30497.10	682.8
328.000	30487.80	677.5
328.100	30478.51	670.8
328.200	30469.23	663.7
328.300	30459.95	658.7
328.400	30450.67	652.3
328.500	30441.40	646.2
328.600	30432.14	641.2
328.700	30422.88	634.6
328.800	30413.63	630.1
328.900	30404.38	622.5
329.000	30395.14	619
329.100	30385.90	611
329.200	30376.67	605.9
329.300	30367.45	600.7
329.400	30358.23	594.8
329.500	30349.01	588.7
329.600	30339.81	583.9
329.700	30330.60	577.2
329.800	30321.41	571.8
329.900	30312.22	567.7
330.000	30303.03	562.2
330.100	30293.85	557
330.200	30284.68	552
330.300	30275.51	546.7
330.400	30266.34	540.4
330.500	30257.19	536.5
330.600	30248.03	530.2
330.700	30238.89	525.4
330.800	30229.75	520.8
330.900	30220.61	515.9
331.000	30211.48	510.3
331.100	30202.36	505
331.200	30193.24	500.8
331.300	30184.12	496
331.400	30175.02	490.8
331.500	30165.91	484.7
331.600	30156.82	481.5
331.700	30147.72	476.4
331.800	30138.64	472.5
331.900	30129.56	466.4
332.000	30120.48	462.2
332.100	30111.41	457.9
332.200	30102.35	454.6
332.300	30093.29	448.2
332.400	30084.24	443.9
332.500	30075.19	439
332.600	30066.15	436.3
332.700	30057.11	430.7
332.800	30048.08	427
332.900	30039.05	421.9
333.000	30030.03	418.1
333.100	30021.01	415.6
333.200	30012.00	410.6
333.300	30003.00	406.4
333.400	29994.00	401.8
333.500	29985.01	398.9
333.600	29976.02	393.8
333.700	29967.04	389.6
333.800	29958.06	385.2
333.900	29949.09	382.5
334.000	29940.12	378.2
334.100	29931.16	374.1
334.200	29922.20	371.1
334.300	29913.25	367.2
334.400	29904.31	363.1
334.500	29895.37	358.8
334.600	29886.43	355.3
334.700	29877.50	352.3
334.800	29868.58	347.8
334.900	29859.66	344
335.000	29850.75	340.2
335.100	29841.84	335.3
335.200	29832.94	333.4
335.300	29824.04	329
335.400	29815.15	326.5
335.500	29806.26	321.9
335.600	29797.38	319.9
335.700	29788.50	315.2
335.800	29779.63	312.1
335.900	29770.77	309.5
336.000	29761.90	306.2
336.100	29753.05	303.9
336.200	29744.20	299.2
336.300	29735.36	296.8
336.400	29726.52	293.2
336.500	29717.68	290.6
336.600	29708.85	286.9
336.700	29700.03	283.3
336.800	29691.21	280.7
336.900	29682.40	278.5
337.000	29673.59	275.7
