Wavelength_nm	Absorbance__2107362U1_0001A	Concentration_M__2107362U1_0001A	Path_length_cm__2107362U1_0001A	Epsilon_M-1_cm-1__2107362U1_0001A	Absorbance__2107362U1_0001B	Concentration_M__2107362U1_0001B	Path_length_cm__2107362U1_0001B	Epsilon_M-1_cm-1__2107362U1_0001B	Absorbance__2107362U1_0001C	Concentration_M__2107362U1_0001C	Path_length_cm__2107362U1_0001C	Epsilon_M-1_cm-1__2107362U1_0001C	Epsilon_mean_M-1_cm-1	Epsilon_SD_M-1_cm-1	Epsilon_SEM_M-1_cm-1	Epsilon_lower_nonnegative_M-1_cm-1	Epsilon_upper_nonnegative_M-1_cm-1
2.68581238e+02	5.73293171e-01	6.82000000e-05	1	8.40605823e+03	5.44916269e-01	6.87000000e-05	1	7.93182342e+03	5.46425163e-01	6.80000000e-05	1	8.03566416e+03	8.12451527e+03	2.49290101e+02	1.43927707e+02	7.87522517e+03	8.37380537e+03
2.69180756e+02	5.58320714e-01	6.82000000e-05	1	8.18652074e+03	5.35495755e-01	6.87000000e-05	1	7.79469804e+03	5.37582274e-01	6.80000000e-05	1	7.90562168e+03	7.96228015e+03	2.01962608e+02	1.16603166e+02	7.76031754e+03	8.16424276e+03
2.69780243e+02	5.40008964e-01	6.82000000e-05	1	7.91802000e+03	5.24858388e-01	6.87000000e-05	1	7.63986009e+03	5.27972866e-01	6.80000000e-05	1	7.76430685e+03	7.77406231e+03	1.39336319e+02	8.04458614e+01	7.63472599e+03	7.91339863e+03
2.70379669e+02	5.20808893e-01	6.82000000e-05	1	7.63649404e+03	5.13088263e-01	6.87000000e-05	1	7.46853367e+03	5.17240434e-01	6.80000000e-05	1	7.60647697e+03	7.57050156e+03	8.95731232e+01	5.17150668e+01	7.48092844e+03	7.66007468e+03
2.70979095e+02	5.02067873e-01	6.82000000e-05	1	7.36169902e+03	4.99591664e-01	6.87000000e-05	1	7.27207662e+03	5.04319263e-01	6.80000000e-05	1	7.41645975e+03	7.35007846e+03	7.28896423e+01	4.20828546e+01	7.27718882e+03	7.42296811e+03
2.71578491e+02	4.83495989e-01	6.82000000e-05	1	7.08938400e+03	4.84064034e-01	6.87000000e-05	1	7.04605580e+03	4.89133785e-01	6.80000000e-05	1	7.19314390e+03	7.10952790e+03	7.55847852e+01	4.36388961e+01	7.03394312e+03	7.18511269e+03
2.72177887e+02	4.64346997e-01	6.82000000e-05	1	6.80860700e+03	4.66198733e-01	6.87000000e-05	1	6.78600776e+03	4.71859475e-01	6.80000000e-05	1	6.93910993e+03	6.84457490e+03	8.26458468e+01	4.77156019e+01	6.76192905e+03	6.92722075e+03
2.72777222e+02	4.44501683e-01	6.82000000e-05	1	6.51761999e+03	4.46898807e-01	6.87000000e-05	1	6.50507725e+03	4.52677886e-01	6.80000000e-05	1	6.65702774e+03	6.55990833e+03	8.43413648e+01	4.86945097e+01	6.47556696e+03	6.64424969e+03
2.73376556e+02	4.24223935e-01	6.82000000e-05	1	6.22029229e+03	4.26793969e-01	6.87000000e-05	1	6.21243040e+03	4.32681349e-01	6.80000000e-05	1	6.36296101e+03	6.26522790e+03	8.47305890e+01	4.89192283e+01	6.18049731e+03	6.34995849e+03
2.73975830e+02	4.03660635e-01	6.82000000e-05	1	5.91877764e+03	4.06425252e-01	6.87000000e-05	1	5.91594254e+03	4.12245282e-01	6.80000000e-05	1	6.06243062e+03	5.96571693e+03	8.37685049e+01	4.83637688e+01	5.88194843e+03	6.04948544e+03
2.74575104e+02	3.83952183e-01	6.82000000e-05	1	5.62979740e+03	3.86688780e-01	6.87000000e-05	1	5.62865764e+03	3.92519509e-01	6.80000000e-05	1	5.77234572e+03	5.67693359e+03	8.26312943e+01	4.77072000e+01	5.59430229e+03	5.75956488e+03
2.75174347e+02	3.65927085e-01	6.82000000e-05	1	5.36549978e+03	3.68745432e-01	6.87000000e-05	1	5.36747354e+03	3.74416821e-01	6.80000000e-05	1	5.50612972e+03	5.41303435e+03	8.06290002e+01	4.65511750e+01	5.33240535e+03	5.49366335e+03
2.75773560e+02	3.49609967e-01	6.82000000e-05	1	5.12624586e+03	3.52395199e-01	6.87000000e-05	1	5.12947888e+03	3.57957736e-01	6.80000000e-05	1	5.26408436e+03	5.17326970e+03	7.86644152e+01	4.54169213e+01	5.09460528e+03	5.25193411e+03
2.76372742e+02	3.35387753e-01	6.82000000e-05	1	4.91770898e+03	3.38224551e-01	6.87000000e-05	1	4.92321035e+03	3.43778177e-01	6.80000000e-05	1	5.05556143e+03	4.96549359e+03	7.80495236e+01	4.50619135e+01	4.88744406e+03	5.04354311e+03
2.76971924e+02	3.23310654e-01	6.82000000e-05	1	4.74062542e+03	3.26197291e-01	6.87000000e-05	1	4.74814106e+03	3.31750952e-01	6.80000000e-05	1	4.87869047e+03	4.78915231e+03	7.76333145e+01	4.48216150e+01	4.71151900e+03	4.86678563e+03
2.77571045e+02	3.13583402e-01	6.82000000e-05	1	4.59799709e+03	3.16447734e-01	6.87000000e-05	1	4.60622612e+03	3.21819050e-01	6.80000000e-05	1	4.73263309e+03	4.64561877e+03	7.54688603e+01	4.35719668e+01	4.57014991e+03	4.72108763e+03
2.78170166e+02	3.05796951e-01	6.82000000e-05	1	4.48382626e+03	3.08593988e-01	6.87000000e-05	1	4.49190666e+03	3.13891948e-01	6.80000000e-05	1	4.61605806e+03	4.53059699e+03	7.41216510e+01	4.27941551e+01	4.45647534e+03	4.60471864e+03
2.78769226e+02	3.00014962e-01	6.82000000e-05	1	4.39904636e+03	3.02866351e-01	6.87000000e-05	1	4.40853495e+03	3.08065622e-01	6.80000000e-05	1	4.53037680e+03	4.44598604e+03	7.32383700e+01	4.22841926e+01	4.37274767e+03	4.51922441e+03
2.79368286e+02	2.95939895e-01	6.82000000e-05	1	4.33929464e+03	2.98668413e-01	6.87000000e-05	1	4.34742959e+03	3.03910454e-01	6.80000000e-05	1	4.46927138e+03	4.38533187e+03	7.28074523e+01	4.20354022e+01	4.31252442e+03	4.45813932e+03
2.79967316e+02	2.93423526e-01	6.82000000e-05	1	4.30239774e+03	2.96139910e-01	6.87000000e-05	1	4.31062460e+03	3.01331668e-01	6.80000000e-05	1	4.43134805e+03	4.34812347e+03	7.21918929e+01	4.16800088e+01	4.27593157e+03	4.42031536e+03
2.80566315e+02	2.92079708e-01	6.82000000e-05	1	4.28269367e+03	2.94580691e-01	6.87000000e-05	1	4.28792855e+03	3.00059696e-01	6.80000000e-05	1	4.41264258e+03	4.32775493e+03	7.35614433e+01	4.24707191e+01	4.25419349e+03	4.40131638e+03
2.81165314e+02	2.91507487e-01	6.82000000e-05	1	4.27430332e+03	2.94028717e-01	6.87000000e-05	1	4.27989398e+03	2.99567643e-01	6.80000000e-05	1	4.40540652e+03	4.31986794e+03	7.41313031e+01	4.27997278e+01	4.24573664e+03	4.39399924e+03
