Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)
592.316	16882.89	-3.075
592.892	16866.47	-2.509
593.469	16850.08	1.533
594.046	16833.72	-0.3225
594.622	16817.40	-0.3693
595.199	16801.10	1.229
595.776	16784.84	7.046
596.352	16768.61	8.212
596.929	16752.41	6.054
597.506	16736.24	3.88
598.083	16720.10	-1.395
598.659	16703.99	-1.24
599.236	16687.92	3.198
599.813	16671.87	8.819
600.389	16655.86	4.698
600.966	16639.87	2.135
601.543	16623.92	-0.102
602.120	16608.00	-5.383
602.696	16592.11	-2.275
603.273	16576.24	-7.026
603.850	16560.41	-7.618
604.426	16544.61	0.3494
605.003	16528.84	2.572
605.580	16513.10	-4.416
606.157	16497.39	-9.145
606.733	16481.71	-11.31
607.310	16466.06	-5.584
607.887	16450.44	-9.574
608.463	16434.84	-11.61
609.040	16419.28	-3.119
609.617	16403.75	2.485
610.193	16388.24	0.8977
610.770	16372.77	3.8
611.347	16357.33	-4.725
611.924	16341.91	-0.4149
612.500	16326.52	-1.992
613.077	16311.16	-0.3977
613.654	16295.84	1.684
614.230	16280.53	-0.5242
614.807	16265.26	-9.531
615.384	16250.02	-1.724
615.961	16234.81	5.663
616.537	16219.62	-8.775
617.114	16204.46	-7.882
617.691	16189.33	-14.88
618.267	16174.23	-3.142
618.844	16159.16	-0.9513
619.421	16144.11	0.6382
619.998	16129.10	1.922
620.574	16114.11	0.8444
621.151	16099.15	3.126
621.728	16084.21	-1.795
622.304	16069.31	-6.979
622.881	16054.43	-7.655
623.458	16039.58	-8.502
624.034	16024.76	-3.386
624.611	16009.96	1.165
625.188	15995.19	1.085
625.765	15980.45	-1.099
626.341	15965.74	-8.432
626.918	15951.05	-5.384
627.495	15936.39	-8.896
628.071	15921.76	-10.27
628.648	15907.15	-6.253
629.225	15892.57	-9.453
629.802	15878.02	-3.424
630.378	15863.49	-4.567
630.955	15848.99	-3.547
631.532	15834.52	-10.25
632.108	15820.07	-7.86
632.685	15805.65	-10.82
633.262	15791.26	-9.459
633.839	15776.89	-0.1501
634.415	15762.55	-2.806
634.992	15748.23	-2.64
635.569	15733.94	-3.108
636.145	15719.68	-6.856
636.722	15705.44	-14.01
637.299	15691.23	-18.24
637.875	15677.04	-8.98
638.452	15662.88	-1.293
639.029	15648.74	-3.232
639.606	15634.63	-3.158
640.182	15620.55	-8.954
640.759	15606.49	-14.96
641.336	15592.46	-16.83
641.912	15578.45	-15.43
642.489	15564.46	-15.34
643.066	15550.51	-13.34
643.643	15536.57	-11.56
644.219	15522.66	-11.02
644.796	15508.78	-13.62
645.373	15494.92	-10.94
645.949	15481.09	-11.68
646.526	15467.28	-4.048
647.103	15453.49	-3.738
647.680	15439.73	-4.256
648.256	15426.00	-0.5781
648.833	15412.29	-8.01
649.410	15398.60	-8.054
649.986	15384.94	1.325
650.563	15371.30	5.188
651.140	15357.69	4.5
651.717	15344.09	-2.813
652.293	15330.53	-8.543
652.870	15316.99	-0.8671
653.447	15303.47	-2.553
654.023	15289.97	-7.307
654.600	15276.50	-10.17
655.177	15263.06	-9.574
655.753	15249.63	1.976
656.330	15236.23	10.26
656.907	15222.86	11.65
