Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
758.984	13175.51	-1.923
759.561	13165.50	-1.823
760.138	13155.51	9.269
760.714	13145.54	15.27
761.291	13135.58	3.877
761.868	13125.64	-1.72
762.444	13115.71	7.477
763.021	13105.80	7.076
763.598	13095.90	-0.02086
764.175	13086.02	-13.21
764.751	13076.15	-7.717
765.328	13066.29	5.977
765.905	13056.46	-3.018
766.481	13046.63	7.678
767.058	13036.82	8.677
767.635	13027.03	4.579
768.212	13017.25	16.07
768.788	13007.48	11.07
769.365	12997.73	-3.321
769.942	12988.00	2.274
770.518	12978.28	-0.3268
771.095	12968.57	-6.922
771.672	12958.88	-2.724
772.248	12949.20	-2.123
772.825	12939.54	-7.623
773.402	12929.89	-9.023
773.979	12920.25	-6.524
774.555	12910.63	-3.327
775.132	12901.03	-11.92
775.709	12891.44	-21.42
776.285	12881.86	-14.61
776.862	12872.30	6.476
777.439	12862.75	2.178
778.016	12853.21	-5.217
778.592	12843.69	5.178
779.169	12834.19	7.477
779.746	12824.69	12.37
780.322	12815.22	15.77
780.899	12805.75	2.579
781.476	12796.30	14.67
782.053	12786.86	10.98
782.629	12777.44	-0.1196
783.206	12768.03	7.676
783.783	12758.64	3.38
784.359	12749.26	0.6787
784.936	12739.89	3.077
785.513	12730.54	-1.421
786.089	12721.20	6.67
786.666	12711.87	11.07
787.243	12702.56	3.978
787.820	12693.26	5.776
788.396	12683.98	6.279
788.973	12674.70	9.277
789.550	12665.45	5.179
790.126	12656.20	1.192
790.703	12646.97	20.77
791.280	12637.75	10.58
791.857	12628.55	12.08
792.433	12619.36	0.8664
793.010	12610.18	-21.52
793.587	12601.02	-7.33
794.163	12591.87	19.16
794.740	12582.73	-5.518
795.317	12573.61	20.67
795.894	12564.49	12.28
796.470	12555.40	-1.723
797.047	12546.31	-1.623
797.624	12537.24	9.87
798.200	12528.18	18.49
798.777	12519.14	30.87
799.354	12510.11	9.185
799.930	12501.09	7.878
800.507	12492.08	-8.923
801.084	12483.09	-10.72
801.661	12474.11	14.46
802.237	12465.14	20.87
802.814	12456.18	12.88
803.391	12447.24	5.68
803.967	12438.31	1.881
804.544	12429.40	25.18
805.121	12420.50	35.17
805.698	12411.60	22.69
806.274	12402.73	26.68
806.851	12393.86	26.98
807.428	12385.01	18.78
808.004	12376.17	14.08
808.581	12367.34	22.08
809.158	12358.53	13.18
809.735	12349.73	25.37
810.311	12340.94	29.77
810.888	12332.16	19.38
811.465	12323.40	16.38
812.041	12314.64	6.19
812.618	12305.90	26.18
813.195	12297.18	24.98
813.771	12288.46	16.68
814.348	12279.76	15.58
814.925	12271.07	25.08
815.502	12262.39	19.58
816.078	12253.73	33.47
816.655	12245.07	21.78
817.232	12236.43	6.484
817.808	12227.80	6.178
818.385	12219.19	20.38
818.962	12210.58	25.88
819.539	12201.99	21.98
820.115	12193.41	22.38
820.692	12184.84	22.78
821.269	12176.28	30.37
821.845	12167.74	27.86
822.422	12159.21	-0.7177
822.999	12150.69	22.07
823.576	12142.18	43.96
824.152	12133.68	18.28
824.729	12125.20	31.28
825.306	12116.72	18.98
825.882	12108.26	10.79
826.459	12099.81	23.28
827.036	12091.38	31.17
827.613	12082.95	61.15
828.189	12074.54	19.18
828.766	12066.13	33.78
829.343	12057.74	26.18
829.919	12049.36	30.78
830.496	12041.00	34.18
831.073	12032.64	42.47
831.649	12024.30	29.79
832.226	12015.96	33.38
832.803	12007.64	28.48
833.380	11999.33	49.16
833.956	11991.04	22.98
834.533	11982.75	22.78
835.110	11974.47	17.98
835.686	11966.21	6.189
836.263	11957.96	20.98
836.840	11949.72	26.88
837.417	11941.49	39.17
837.993	11933.27	14.48
838.570	11925.06	28.08
839.147	11916.87	27.68
839.723	11908.68	22.77
840.300	11900.51	15.88
840.877	11892.35	26.37
841.454	11884.20	28.08
842.030	11876.06	8.975
842.607	11867.93	2.678
843.184	11859.81	5.076
843.760	11851.71	14.78
844.337	11843.61	15.78
844.914	11835.53	2.483
845.490	11827.45	5.574
846.067	11819.39	18.38
846.644	11811.34	12.38
847.221	11803.30	15.97
847.797	11795.27	21.78
848.374	11787.25	18.48
848.951	11779.25	8.582
849.527	11771.25	0.2853
850.104	11763.26	-0.3221
850.681	11755.29	2.377
851.258	11747.33	-3.019
851.834	11739.37	14.17
852.411	11731.43	-0.6223
852.988	11723.50	22.36
853.564	11715.58	2.563
854.141	11707.67	-17.52
854.718	11699.77	24.36
855.295	11691.88	-9.095
855.871	11684.00	0.8811
856.448	11676.13	10.38
857.025	11668.28	7.179
857.601	11660.43	15.07
858.178	11652.59	-3.222
858.755	11644.77	6.973
859.331	11636.95	27.96
859.908	11629.15	-0.5258
860.485	11621.35	-9.521
861.062	11613.57	4.068
861.638	11605.80	19.58
862.215	11598.03	21.38
862.792	11590.28	10.98
863.368	11582.54	21.37
863.945	11574.81	11.28
864.522	11567.09	22.97
865.099	11559.38	13.68
865.675	11551.68	19.38
866.252	11543.99	27.28
866.829	11536.30	5.789
867.405	11528.63	7.276
867.982	11520.97	15.28
868.559	11513.32	21.18
869.136	11505.69	14.78
869.712	11498.06	4.68
870.289	11490.44	10.78
870.866	11482.83	20.77
871.442	11475.23	23.27
872.019	11467.64	8.279
872.596	11460.06	20.27
873.172	11452.49	15.28
873.749	11444.93	16.37
874.326	11437.38	-0.4201
874.903	11429.84	-0.5227
875.479	11422.31	-3.708
876.056	11414.79	23.18
876.633	11407.29	27.98
877.209	11399.79	32.47
877.786	11392.30	21.87
878.363	11384.82	7.78
878.940	11377.35	9.576
879.516	11369.89	9.993
880.093	11362.44	41.08
880.670	11354.99	20.49
881.246	11347.56	30.37
881.823	11340.14	19.08
882.400	11332.73	28.07
882.977	11325.33	33.07
883.553	11317.94	27.28
884.130	11310.55	29.98
884.707	11303.18	9.189
885.283	11295.82	21.87
885.860	11288.46	15.78
886.437	11281.12	18.48
887.014	11273.79	9.985
887.590	11266.46	13.98
888.167	11259.14	19.38
888.744	11251.84	3.887
889.320	11244.54	20.98
889.897	11237.25	26.38
890.474	11229.98	27.38
891.050	11222.71	19.88
891.627	11215.45	6.179
892.204	11208.20	12.78
892.781	11200.96	9.18
893.357	11193.73	8.98
893.934	11186.51	14.08
894.511	11179.30	14.98
895.087	11172.09	38.55
895.664	11164.90	26.58
896.241	11157.72	22.38
896.818	11150.54	20.08
897.394	11143.37	16.28
897.971	11136.22	21.08
898.548	11129.07	15.18
899.124	11121.93	15.98
899.701	11114.80	31.48
900.278	11107.68	28.68
900.855	11100.57	22.68
901.431	11093.47	37.87
902.008	11086.38	22.98
902.585	11079.29	4.589
903.161	11072.22	30.57
903.738	11065.15	25.18
904.315	11058.10	24.18
904.891	11051.05	27.97
905.468	11044.01	25.78
906.045	11036.98	24.98
906.622	11029.96	18.08
907.198	11022.95	21.98
907.775	11015.95	27.48
908.352	11008.95	24.68
908.928	11001.97	30.47
909.505	10994.99	36.88
910.082	10988.02	40.78
910.659	10981.06	37.28
911.235	10974.11	23.78
911.812	10967.17	19.58
912.389	10960.24	22.38
912.965	10953.32	43.06
913.542	10946.40	29.38
914.119	10939.50	23.28
914.696	10932.60	37.27
915.272	10925.71	30.68
915.849	10918.83	41.58
916.426	10911.96	5.5
917.002	10905.10	12.77
917.579	10898.24	4.581
918.156	10891.40	37.76
918.732	10884.56	32.48
919.309	10877.73	41.37
919.886	10870.91	31.88
920.463	10864.10	27.98
921.039	10857.30	39.86
921.616	10850.51	3.178
922.193	10843.72	18.67
922.769	10836.94	8.987
923.346	10830.17	14.88
923.923	10823.41	37.07
924.500	10816.66	47.97
925.076	10809.92	26.77
925.653	10803.18	20.68
926.230	10796.46	22.58
926.806	10789.74	20.78
927.383	10783.03	14.08
927.960	10776.33	13.28
928.537	10769.64	19.47
929.113	10762.95	24.38
929.690	10756.27	20.38
930.267	10749.61	-0.01042
930.843	10742.95	27.05
931.420	10736.29	23.28
931.997	10729.65	17.38
932.573	10723.02	24.97
933.150	10716.39	29.67
933.727	10709.77	22.88
934.304	10703.16	5.189
934.880	10696.56	23.38
935.457	10689.96	19.58
936.034	10683.38	32.67
936.610	10676.80	22.69
937.187	10670.23	23.97
937.764	10663.67	12.88
938.341	10657.11	24.77
938.917	10650.57	22.37
939.494	10644.03	10.38
940.071	10637.50	18.47
940.647	10630.98	37.36
941.224	10624.46	32.28
941.801	10617.96	27.28
942.378	10611.46	37.27
942.954	10604.97	19.28
943.531	10598.49	17.18
944.108	10592.01	29.37
944.684	10585.55	22.58
945.261	10579.09	19.48
945.838	10572.64	25.77
946.414	10566.19	37.57
946.991	10559.76	44.07
947.568	10553.33	27.18
948.145	10546.91	3.993
948.721	10540.50	31.67
949.298	10534.10	12.98
949.875	10527.70	4.281
950.451	10521.32	28.05
951.028	10514.94	4.483
951.605	10508.56	26.07
952.182	10502.20	24.58
952.758	10495.84	17.18
953.335	10489.49	21.88
953.912	10483.15	29.57
954.488	10476.82	16.19
955.065	10470.49	25.58
955.642	10464.17	17.58
956.219	10457.86	-0.5084
956.795	10451.56	10.28
957.372	10445.26	15.38
957.949	10438.97	15.48
958.525	10432.69	17.38
959.102	10426.42	21.48
959.679	10420.15	32.37
960.256	10413.90	30.48
960.832	10407.64	17.28
961.409	10401.40	16.78
961.986	10395.17	17.28
962.562	10388.94	14.08
963.139	10382.72	19.28
963.716	10376.50	8.682
964.292	10370.30	18.97
964.869	10364.10	14.98
965.446	10357.91	30.07
966.023	10351.72	-9.594
966.599	10345.55	37.67
967.176	10339.38	19.08
967.753	10333.22	25.27
968.329	10327.06	14.09
968.906	10320.92	33.08
969.483	10314.78	24.38
970.060	10308.65	11.99
970.636	10302.52	39.67
971.213	10296.40	24.68
971.790	10290.29	21.68
972.366	10284.19	21.68
972.943	10278.09	26.38
973.520	10272.00	28.38
974.097	10265.92	39.17
974.673	10259.85	29.97
975.250	10253.78	16.68
975.827	10247.72	8.782
976.403	10241.67	24.26
976.980	10235.62	23.38
977.557	10229.59	16.58
978.133	10223.55	36.46
978.710	10217.53	32.18
979.287	10211.51	26.98
979.864	10205.50	47.76
980.440	10199.50	26.68
981.017	10193.50	26.38
981.594	10187.51	5.287
982.170	10181.53	35.95
982.747	10175.56	25.77
983.324	10169.59	8.382
983.901	10163.63	22.37
984.477	10157.67	57.57
985.054	10151.73	42.18
985.631	10145.79	36.58
986.207	10139.86	46.97
986.784	10133.93	46.47
987.361	10128.01	24.88
987.938	10122.10	27.28
988.514	10116.19	43.58
989.091	10110.29	49.08
989.668	10104.40	37.08
990.244	10098.52	46.97
990.821	10092.64	29.58
991.398	10086.77	44.97
991.974	10080.90	30.39
992.551	10075.05	41.58
993.128	10069.20	37.18
993.705	10063.35	30.08
994.281	10057.52	37.57
994.858	10051.69	50.88
995.435	10045.86	37.58
996.011	10040.05	43.47
996.588	10034.24	41.88
997.165	10028.43	47.38
997.742	10022.64	35.79
998.318	10016.85	40.38
998.895	10011.06	38.28
999.472	10005.29	46.17
1000.048	9999.52	44.28
1000.625	9993.75	32.38
1001.202	9988.00	24.38
1001.779	9982.25	56.95
1002.355	9976.50	49.08
1002.932	9970.77	44.08
1003.509	9965.04	49.67
1004.085	9959.31	42.19
1004.662	9953.60	35.88
1005.239	9947.89	57.77
1005.815	9942.18	37.2
1006.392	9936.48	34.68
1006.969	9930.79	38.98
1007.546	9925.11	59.56
1008.122	9919.43	44.59
1008.699	9913.76	34.88
1009.276	9908.10	30.08
1009.852	9902.44	40.37
1010.429	9896.78	45.57
1011.006	9891.14	20.78
1011.583	9885.50	19.08
1012.159	9879.87	24.17
1012.736	9874.24	20.18
1013.313	9868.62	38.97
1013.889	9863.01	50.47
1014.466	9857.40	54.48
1015.043	9851.80	44.68
1015.620	9846.21	40.68
1016.196	9840.62	46.77
1016.773	9835.04	28.68
1017.350	9829.46	56.26
1017.926	9823.89	36
1018.503	9818.33	9.98
1019.080	9812.77	30.37
1019.656	9807.22	62.55
1020.233	9801.68	34.78
1020.810	9796.14	36.48
1021.387	9790.61	27.48
1021.963	9785.09	37.27
1022.540	9779.57	22.08
1023.117	9774.06	20.48
1023.693	9768.55	24.47
1024.270	9763.05	28.78
1024.847	9757.56	41.17
1025.424	9752.07	16.2
1026.000	9746.59	10.88
1026.577	9741.11	24.28
1027.154	9735.64	29.67
1027.730	9730.18	31.28
1028.307	9724.72	15.97
1028.884	9719.27	-2.118
1029.461	9713.83	22.26
1030.037	9708.39	33.97
1030.614	9702.95	9.679
1031.191	9697.53	32.46
1031.767	9692.11	1.71
1032.344	9686.69	1.978
1032.921	9681.28	9.175
1033.498	9675.88	14.17
1034.074	9670.49	9.481
1034.651	9665.10	20.88
1035.228	9659.71	17.28
1035.804	9654.33	13.08
1036.381	9648.96	1.778
1036.958	9643.59	15.27
1037.534	9638.23	13.18
1038.111	9632.88	5.382
1038.688	9627.53	21.67
1039.265	9622.19	20.28
1039.841	9616.85	23.77
1040.418	9611.52	19.28
1040.995	9606.20	38.87
1041.571	9600.88	19.1
1042.148	9595.56	4.879
1042.725	9590.26	12.18
1043.302	9584.96	12.98
1043.878	9579.66	22.96
1044.455	9574.37	25.48
1045.032	9569.09	26.08
1045.608	9563.81	22.48
1046.185	9558.54	28.98
1046.762	9553.27	28.48
1047.339	9548.01	12.69
1047.915	9542.76	26.68
1048.492	9537.51	32.88
1049.069	9532.26	20.58
1049.645	9527.03	34.66
1050.222	9521.80	46.78
1050.799	9516.57	42.38
1051.375	9511.35	27.19
1051.952	9506.14	27.38
1052.529	9500.93	41.17
1053.106	9495.72	23.79
1053.682	9490.53	23.18
1054.259	9485.34	29.08
1054.836	9480.15	54.07
1055.412	9474.97	23.81
1055.989	9469.79	32.88
1056.566	9464.63	35.98
1057.143	9459.46	45.07
1057.719	9454.30	35.69
1058.296	9449.15	45.88
1058.873	9444.01	48.98
1059.449	9438.87	30.1
1060.026	9433.73	46.68
1060.603	9428.60	41.58
1061.180	9423.48	39.98
1061.756	9418.36	24.38
1062.333	9413.24	39.88
1062.910	9408.14	34.08
1063.486	9403.04	54.35
1064.063	9397.94	33.98
1064.640	9392.85	42.37
1065.216	9387.76	40.78
1065.793	9382.68	41.18
1066.370	9377.61	52.98
1066.947	9372.54	53.68
1067.523	9367.48	43.19
1068.100	9362.42	55.38
1068.677	9357.37	52.68
1069.253	9352.32	36.89
1069.830	9347.28	39.97
1070.407	9342.24	27.58
1070.984	9337.21	46.06
1071.560	9332.19	27.9
1072.137	9327.17	57.88
1072.714	9322.15	47.28
1073.290	9317.14	30
1073.867	9312.14	47.78
1074.444	9307.14	60.37
1075.021	9302.15	50.49
1075.597	9297.16	33.6
1076.174	9292.18	35.38
1076.751	9287.20	37.68
1077.327	9282.23	37.68
1077.904	9277.26	43.08
1078.481	9272.30	32.18
1079.057	9267.35	48.46
1079.634	9262.40	37.77
1080.211	9257.45	18.38
1080.788	9252.51	30.77
1081.364	9247.58	57.05
1081.941	9242.65	42.68
1082.518	9237.72	35.08
1083.094	9232.81	57.16
1083.671	9227.89	55.38
1084.248	9222.98	56.98
1084.825	9218.08	66.57
1085.401	9213.18	46.2
1085.978	9208.29	36.38
1086.555	9203.40	38.88
1087.131	9198.52	29.09
1087.708	9193.64	45.68
1088.285	9188.77	48.58
1088.862	9183.90	31.69
1089.438	9179.04	55.75
1090.015	9174.19	25.38
1090.592	9169.33	50.56
1091.168	9164.49	50.88
1091.745	9159.65	65.27
1092.322	9154.81	40.19
1092.898	9149.98	51.37
1093.475	9145.15	47.37
1094.052	9140.33	31.38
1094.629	9135.52	31.68
1095.205	9130.71	35.37
1095.782	9125.90	40.28
1096.359	9121.10	39.18
1096.935	9116.31	33.68
1097.512	9111.52	51.57
1098.089	9106.73	41.68
1098.666	9101.95	31.98
1099.242	9097.18	24.69
