Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
328.760	30417.37	1.577
329.336	30364.11	1.674
329.913	30311.03	-6.222
330.490	30258.14	4.081
331.066	30205.43	7.476
331.643	30152.90	4.578
332.220	30100.56	9.379
332.796	30048.40	10.87
333.373	29996.41	7.778
333.950	29944.61	9.377
334.527	29892.99	9.973
335.103	29841.54	5.486
335.680	29790.28	22.08
336.257	29739.18	5.481
336.833	29688.26	8.164
337.410	29637.52	-9.32
337.987	29586.95	1.074
338.564	29536.55	32.97
339.140	29486.32	21.27
339.717	29436.27	10.98
340.294	29386.38	17.67
340.870	29336.66	7.399
341.447	29287.11	39.37
342.024	29237.73	15.69
342.601	29188.51	27.47
343.177	29139.46	18.98
343.754	29090.58	24.48
344.331	29041.85	37.68
344.907	28993.29	42.68
345.484	28944.90	42.98
346.061	28896.66	56.49
346.637	28848.58	63.17
347.214	28800.67	57.58
347.791	28752.91	55.78
348.368	28705.31	66.22
348.944	28657.87	105
349.521	28610.58	136.9
350.098	28563.45	142.1
350.674	28516.48	164.3
351.251	28469.66	187.6
351.828	28422.99	242.4
352.405	28376.48	340.1
352.981	28330.12	489.7
353.558	28283.90	750.8
354.135	28237.84	1119
354.711	28191.93	1614
355.288	28146.17	2240
355.865	28100.56	3000
356.442	28055.09	3931
357.018	28009.77	5089
357.595	27964.60	6473
358.172	27919.57	8113
358.748	27874.69	1.009E4
359.325	27829.95	1.251E4
359.902	27785.36	1.548E4
360.478	27740.91	1.889E4
361.055	27696.60	2.293E4
361.632	27652.43	2.709E4
362.209	27608.40	3.106E4
362.785	27564.51	3.406E4
363.362	27520.76	3.56E4
363.939	27477.15	3.566E4
364.515	27433.68	3.462E4
365.092	27390.34	3.282E4
365.669	27347.15	3.064E4
366.246	27304.08	2.825E4
366.822	27261.16	2.573E4
367.399	27218.37	2.324E4
367.976	27175.71	2.079E4
368.552	27133.18	1.846E4
369.129	27090.79	1.64E4
369.706	27048.53	1.45E4
370.283	27006.41	1.273E4
370.859	26964.41	1.113E4
371.436	26922.54	9726
372.013	26880.81	8437
372.589	26839.20	7302
373.166	26797.72	6320
373.743	26756.37	5459
374.319	26715.15	4767
374.896	26674.05	4169
375.473	26633.08	3697
376.050	26592.24	3270
376.626	26551.52	2971
377.203	26510.92	2672
377.780	26470.45	2405
378.356	26430.10	2186
378.933	26389.88	1993
379.510	26349.78	1834
380.087	26309.80	1692
380.663	26269.94	1559
381.240	26230.20	1430
381.817	26190.58	1305
382.393	26151.08	1165
382.970	26111.70	1071
383.547	26072.44	963.8
384.124	26033.29	873.7
384.700	25994.26	788.7
385.277	25955.35	700.8
385.854	25916.56	620.9
386.430	25877.88	555.1
387.007	25839.32	511.1
387.584	25800.87	481.1
388.160	25762.54	449.5
388.737	25724.32	407.6
389.314	25686.21	390.1
389.891	25648.22	340.7
390.467	25610.34	298.2
391.044	25572.57	296.8
391.621	25534.91	286.3
392.197	25497.36	245.3
392.774	25459.92	230.4
393.351	25422.59	199.1
393.928	25385.38	192.9
394.504	25348.27	154.4
395.081	25311.27	147.1
395.658	25274.37	152.4
396.234	25237.59	119.1
396.811	25200.91	130
397.388	25164.33	120.7
397.965	25127.87	100.4
398.541	25091.51	114.6
399.118	25055.25	79.08
399.695	25019.10	88.27
400.271	24983.05	79.18
400.848	24947.11	78.58
401.425	24911.27	69.88
402.002	24875.53	51.87
402.578	24839.89	46.78
403.155	24804.36	49.28
403.732	24768.93	56.18
404.308	24733.60	55.17
404.885	24698.37	36.28
405.462	24663.24	21.68
406.038	24628.21	16.17
406.615	24593.28	11.78
407.192	24558.45	19.88
407.769	24523.71	21.46
408.345	24489.08	8.181
408.922	24454.54	16.28
409.499	24420.10	24.26
410.075	24385.76	12.27
410.652	24351.51	6.078
411.229	24317.36	10.68
411.806	24283.31	16.96
412.382	24249.35	3.372
412.959	24215.48	-7.022
413.536	24181.71	-6.119
414.112	24148.03	-3.306
414.689	24114.45	20.97
415.266	24080.96	5.382
415.843	24047.57	2.179
416.419	24014.26	4.567
416.996	23981.05	-21.32
417.573	23947.93	-16.54
418.149	23914.90	-33.71
418.726	23881.96	-19.92
419.303	23849.12	-9.327
419.879	23816.36	-3.238
420.456	23783.69	-21.61
421.033	23751.11	2.673
421.610	23718.62	-6.318
422.186	23686.23	-2.035
422.763	23653.91	-24.92
423.340	23621.69	-9.729
423.916	23589.55	-15.02
424.493	23557.51	-8.122
425.070	23525.55	-7.023
425.647	23493.67	-3.718
426.223	23461.88	1.381
426.800	23430.18	9.677
427.377	23398.56	2.962
427.953	23367.03	-9.921
428.530	23335.58	-7.422
429.107	23304.22	-3.724
429.684	23272.94	-15.43
430.260	23241.75	-25.32
430.837	23210.64	-10.72
431.414	23179.61	-2.016
431.990	23148.66	4.368
432.567	23117.80	-10.12
433.144	23087.02	-6.724
433.720	23056.32	14.55
434.297	23025.71	-12.62
434.874	22995.17	-0.7248
435.451	22964.72	20.95
