Wavelength [nm]	Wavenumbers [1/cm]	Intensity
403.848	24761.79	-2.162
404.421	24726.70	-14.76
404.994	24691.71	-12.57
405.567	24656.82	3.653
406.140	24622.03	14.04
406.713	24587.33	7.663
407.287	24552.74	3.08
407.860	24518.24	12.52
408.433	24483.84	16.75
409.006	24449.53	0.1254
409.579	24415.32	-2.891
410.152	24381.21	10.19
410.725	24347.19	14.02
411.298	24313.27	10.23
411.871	24279.44	3.798
412.444	24245.70	8.743
413.017	24212.06	-5.018
413.590	24178.51	-14.62
414.163	24145.06	11.52
414.737	24111.69	10.45
415.310	24078.42	1.457
415.883	24045.24	2.096
416.456	24012.15	0.2906
417.029	23979.16	6.101
417.602	23946.25	-3.846
418.175	23913.43	19.44
418.748	23880.71	10.95
419.321	23848.07	-12.49
419.894	23815.52	2.209
420.467	23783.06	-5.977
421.040	23750.69	1.33
421.613	23718.41	-1.888
422.187	23686.21	3.064
422.760	23654.11	9.492
423.333	23622.08	-1.771
423.906	23590.15	-7.489
424.479	23558.30	4.609
425.052	23526.54	-0.8121
425.625	23494.86	-5.317
426.198	23463.27	8.957
426.771	23431.76	3.671
427.344	23400.34	-8.071
427.917	23369.00	-3.075
428.490	23337.75	-7.218
429.063	23306.58	-2.561
429.637	23275.49	12.32
430.210	23244.48	4.266
430.783	23213.56	16.02
431.356	23182.72	26.45
431.929	23151.96	19.91
432.502	23121.29	16.45
433.075	23090.69	-1.818
433.648	23060.18	1.454
434.221	23029.74	14.1
434.794	22999.39	20.76
435.367	22969.11	10.29
435.940	22938.92	20.84
436.513	22908.80	-6.419
437.086	22878.77	-14.57
437.660	22848.81	7.095
438.233	22818.93	24.79
438.806	22789.13	15.74
439.379	22759.41	0.087
439.952	22729.76	-0.3961
440.525	22700.19	22.15
441.098	22670.70	5.089
441.671	22641.28	-9.101
442.244	22611.94	-2.908
442.817	22582.68	-1.219
443.390	22553.49	-2.747
443.963	22524.38	-8.644
444.536	22495.34	-2.438
445.110	22466.38	18.99
445.683	22437.49	31.61
446.256	22408.68	10.37
446.829	22379.94	-0.4198
447.402	22351.27	1.557
447.975	22322.68	0.7829
448.548	22294.16	7.784
449.121	22265.71	5.151
449.694	22237.34	7.273
450.267	22209.03	12.45
450.840	22180.80	-2.645
451.413	22152.64	2.825
451.986	22124.56	3.339
452.560	22096.54	-7.736
453.133	22068.60	6.015
453.706	22040.72	12.27
454.279	22012.92	16.34
454.852	21985.18	14.67
455.425	21957.52	11.68
455.998	21929.92	15.34
456.571	21902.40	24.79
457.144	21874.94	21.57
457.717	21847.55	2.917
458.290	21820.23	33.97
458.863	21792.98	20.33
459.436	21765.80	27.98
460.010	21738.68	1.931
460.583	21711.63	9.062
461.156	21684.65	18.98
461.729	21657.74	14.03
462.302	21630.89	10.74
462.875	21604.11	19.97
463.448	21577.40	25.02
464.021	21550.75	18.75
464.594	21524.16	9.337
465.167	21497.65	14.4
465.740	21471.19	-0.8162
466.313	21444.81	3.888
466.886	21418.49	17.06
467.459	21392.23	7.51
468.033	21366.03	9.383
468.606	21339.90	13.5
469.179	21313.84	11.95
469.752	21287.84	-0.8368
470.325	21261.90	11.69
470.898	21236.02	19.7
471.471	21210.21	17.34
472.044	21184.46	18.91
472.617	21158.77	29.62
473.190	21133.15	41.6
473.763	21107.59	38.52
474.336	21082.08	16.65
474.909	21056.64	-3.97
475.483	21031.27	14.31
476.056	21005.95	29.89
476.629	20980.69	19.25
477.202	20955.50	24.75
477.775	20930.36	24.88
478.348	20905.29	11.63
478.921	20880.27	7.786
479.494	20855.31	12.11
480.067	20830.42	14.99
480.640	20805.58	16.04
481.213	20780.80	-0.6288
481.786	20756.09	23.23
482.359	20731.43	37.2
482.933	20706.83	15.05
483.506	20682.28	9.175
484.079	20657.80	26.51
484.652	20633.37	31.46
485.225	20609.00	34.8
485.798	20584.69	13.6
486.371	20560.44	26.56
