Wavelength_nm,value
276.89999999999998,6939
277,6976
277.10000000000002,7013
277.19999999999999,7050
277.30000000000001,7083
277.39999999999998,7121
277.5,7152
277.60000000000002,7190
277.69999999999999,7228
277.80000000000001,7266
277.89999999999998,7302
278,7341
278.10000000000002,7377
278.19999999999999,7414
278.30000000000001,7454
278.39999999999998,7489
278.5,7529
278.60000000000002,7565
278.69999999999999,7602
278.80000000000001,7639
278.89999999999998,7678
279,7717
279.10000000000002,7758
279.19999999999999,7793
279.30000000000001,7838
279.39999999999998,7877
279.5,7914
279.60000000000002,7953
279.69999999999999,7992
279.80000000000001,8032
279.89999999999998,8071
280,8112
280.10000000000002,8149
280.19999999999999,8188
280.30000000000001,8228
280.39999999999998,8273
280.5,8311
280.60000000000002,8356
280.69999999999999,8395
280.80000000000001,8436
280.89999999999998,8474
281,8517
281.10000000000002,8557
281.19999999999999,8595
281.30000000000001,8641
281.39999999999998,8681
281.5,8721
281.60000000000002,8763
281.69999999999999,8810
281.80000000000001,8846
281.89999999999998,8892
282,8935
282.10000000000002,8977
282.19999999999999,9017
282.30000000000001,9061
282.39999999999998,9103
282.5,9142
282.60000000000002,9190
282.69999999999999,9232
282.80000000000001,9273
282.89999999999998,9316
283,9364
283.10000000000002,9407
283.19999999999999,9454
283.30000000000001,9498
283.39999999999998,9542
283.5,9585
283.60000000000002,9632
283.69999999999999,9673
283.80000000000001,9717
283.89999999999998,9760
284,9808
284.10000000000002,9853
284.19999999999999,9895
284.30000000000001,9944
284.39999999999998,9988
284.5,10040
284.60000000000002,10080
284.69999999999999,10130
284.80000000000001,10170
284.89999999999998,10220
285,10260
285.10000000000002,10310
285.19999999999999,10350
285.30000000000001,10400
285.39999999999998,10450
285.5,10490
285.60000000000002,10540
285.69999999999999,10590
285.80000000000001,10640
285.89999999999998,10680
286,10730
286.10000000000002,10780
286.19999999999999,10830
286.30000000000001,10880
286.39999999999998,10920
286.5,10970
286.60000000000002,11010
286.69999999999999,11070
286.80000000000001,11110
286.89999999999998,11160
287,11210
287.10000000000002,11260
287.19999999999999,11310
287.30000000000001,11360
287.39999999999998,11400
287.5,11450
287.60000000000002,11500
287.69999999999999,11550
287.80000000000001,11600
287.89999999999998,11640
288,11700
288.10000000000002,11740
288.19999999999999,11800
288.30000000000001,11840
288.39999999999998,11900
288.5,11940
288.60000000000002,12000
288.69999999999999,12040
288.80000000000001,12090
288.89999999999998,12140
289,12190
289.10000000000002,12240
289.19999999999999,12280
289.30000000000001,12340
289.39999999999998,12380
289.5,12430
289.60000000000002,12480
289.69999999999999,12540
289.80000000000001,12580
289.89999999999998,12630
290,12680
290.10000000000002,12730
290.19999999999999,12780
290.30000000000001,12830
290.39999999999998,12880
290.5,12930
290.60000000000002,12980
290.69999999999999,13030
290.80000000000001,13080
290.89999999999998,13130
291,13180
291.10000000000002,13230
291.19999999999999,13280
291.30000000000001,13330
291.39999999999998,13390
291.5,13430
291.60000000000002,13470
291.69999999999999,13530
291.80000000000001,13580
291.89999999999998,13630
292,13680
292.10000000000002,13730
292.19999999999999,13780
292.30000000000001,13830
292.39999999999998,13880
292.5,13930
292.60000000000002,13980
292.69999999999999,14030
292.80000000000001,14080
292.89999999999998,14120
293,14180
293.10000000000002,14230
293.19999999999999,14280
293.30000000000001,14320
293.39999999999998,14380
293.5,14420
293.60000000000002,14480
293.69999999999999,14520
293.80000000000001,14580
293.89999999999998,14630
294,14680
294.10000000000002,14730
294.19999999999999,14780
294.30000000000001,14830
294.39999999999998,14880
294.5,14930
294.60000000000002,14980
294.69999999999999,15030
294.80000000000001,15080
294.89999999999998,15130
295,15180
295.10000000000002,15230
295.19999999999999,15280
295.30000000000001,15340
295.39999999999998,15380
295.5,15430
295.60000000000002,15490
295.69999999999999,15540
295.80000000000001,15590
295.89999999999998,15640
296,15690
296.10000000000002,15730
296.19999999999999,15790
296.30000000000001,15840
296.39999999999998,15890
296.5,15940
296.60000000000002,16000
296.69999999999999,16050
296.80000000000001,16090
296.89999999999998,16150
297,16200
297.10000000000002,16250
297.19999999999999,16290
297.30000000000001,16350
297.39999999999998,16400
297.5,16450
297.60000000000002,16500
297.69999999999999,16560
297.80000000000001,16600
297.89999999999998,16660
298,16710
298.10000000000002,16760
298.19999999999999,16810
298.30000000000001,16860
298.39999999999998,16920
298.5,16960
298.60000000000002,17010
298.69999999999999,17060
