Wavelength [nm],Intensity,
530.498,261.64545,
531.071,250.99054,
531.644,229.01581,
532.217,230.11721,
532.790,238.76405,
533.363,250.12415,
533.936,250.16152,
534.509,238.26611,
535.082,245.2263,
535.655,238.30301,
536.229,239.10114,
536.802,257.01528,
537.375,259.87666,
537.948,243.99692,
538.521,234.19424,
539.094,243.6667,
539.667,250.70124,
540.240,248.69775,
540.813,244.65716,
541.386,260.58691,
541.959,234.51177,
542.532,245.03278,
543.105,252.45051,
543.679,257.55461,
544.252,246.93085,
544.825,256.34393,
545.398,269.07089,
545.971,240.21863,
546.544,221.5126,
547.117,236.70134,
547.690,270.65717,
548.263,262.31853,
548.836,260.40117,
549.409,239.25297,
549.982,233.20286,
550.555,244.44706,
551.129,234.06453,
551.702,244.19777,
552.275,224.56161,
552.848,225.1325,
553.421,244.75037,
553.994,242.54277,
554.567,238.22719,
555.140,239.60032,
555.713,241.97524,
556.286,233.19448,
556.859,224.22814,
557.432,256.48579,
558.005,240.80645,
558.579,238.53392,
559.152,236.49402,
559.725,222.4906,
560.298,222.33927,
560.871,222.57769,
561.444,225.95089,
562.017,235.00177,
562.590,233.94391,
563.163,215.62219,
563.736,234.11196,
564.309,235.84227,
564.882,222.34043,
565.455,232.68068,
566.029,233.43453,
566.602,226.80779,
567.175,219.98018,
567.748,220.62697,
568.321,215.02104,
568.894,221.61834,
569.467,223.80218,
570.040,234.8929,
570.613,239.20664,
571.186,232.90192,
571.759,227.28623,
572.332,229.24055,
572.905,241.6069,
573.478,228.72665,
574.052,227.5307,
574.625,233.06618,
575.198,225.74375,
575.771,233.06786,
576.344,230.86012,
576.917,241.67245,
577.490,256.86192,
578.063,253.2279,
578.636,237.43524,
579.209,230.9062,
579.782,247.69703,
580.355,223.35565,
580.928,232.14806,
581.502,225.48274,
582.075,221.36954,
582.648,236.13681,
583.221,223.56475,
583.794,223.34305,
584.367,221.73476,
584.940,235.21215,
585.513,252.72977,
586.086,221.63302,
586.659,183.9325,
587.232,235.86182,
587.805,233.81768,
588.378,233.39847,
588.952,240.90458,
589.525,208.13057,
590.098,227.77839,
590.671,238.6521,
591.244,231.57333,
591.817,203.01376,
592.390,256.72386,
592.963,237.21325,
593.536,218.00802,
594.109,241.57421,
594.682,223.29574,
595.255,263.00787,
595.828,188.59368,
596.402,228.52107,
596.975,218.78099,
597.548,224.03029,
598.121,222.74457,
598.694,220.26705,
599.267,212.31038,
599.840,218.6788,
600.413,227.93571,
600.986,232.03113,
601.559,215.40004,
602.132,228.73647,
602.705,247.81195,
603.278,211.28287,
603.851,196.76083,
604.425,236.54221,
604.998,212.87805,
605.571,230.21558,
606.144,213.96546,
606.717,210.73739,
607.290,226.05749,
607.863,225.02581,
608.436,210.32118,
609.009,202.40559,
609.582,197.8345,
610.155,210.99803,
610.728,222.17313,
611.301,198.65753,
611.875,215.85355,
612.448,212.24706,
613.021,245.54307,
613.594,231.18381,
614.167,212.02793,
614.740,213.97371,
