Wavelength [nm],Intensity,Intensity (baselined),Intensity (normalised)
214.16,216.99254,-1.648498725000053,-3.8160154329257575e-06
214.733,217.88882,-0.7522187250000343,-1.7412681126191194e-06
215.306,221.04003,2.3989912749999576,5.553287721744391e-06
215.879,202.60656,-16.034478725000042,-3.7117297906019254e-05
216.452,222.31417,3.673131274999946,8.502721549003083e-06
217.025,226.32261,7.681571274999953,1.778163009165692e-05
217.598,225.88648,7.245441274999962,1.6772057693739642e-05
218.171,209.62368,-9.017358725000037,-2.087376807575436e-05
218.744,208.92791,-9.713128725000047,-2.2484366262760362e-05
219.317,213.18159,-5.459448725000044,-1.2637765667587246e-05
219.89,199.93334,-18.707698725000057,-4.3305382022132555e-05
220.463,200.03828,-18.602758725000058,-4.306246241688311e-05
221.037,205.77528,-12.865758725000035,-2.9782209173924455e-05
221.61,193.65965,-24.981388725000045,-5.782798825671801e-05
222.183,193.98967,-24.651368725000054,-5.706404383014645e-05
222.756,192.59699,-26.04404872500004,-6.0287879124970115e-05
223.329,208.39878,-10.242258725000056,-2.3709219042688338e-05
223.902,208.72193,-9.919108725000058,-2.2961177586271737e-05
224.475,214.92255,-3.718488725000043,-8.60771691634771e-06
225.048,204.57549,-14.065548725000042,-3.255953443771553e-05
225.621,234.74795,16.10691127499996,3.728496787412666e-05
226.194,212.56722,-6.073818725000052,-1.4059935649263485e-05
226.767,201.55227,-17.08876872500005,-3.955781353989044e-05
227.34,190.79484,-27.84619872500005,-6.445957310820141e-05
227.913,215.46886,-3.1721787250000375,-7.343095136818202e-06
228.487,202.20612,-16.434918725000045,-3.804425356378645e-05
229.06,201.35806,-17.28297872500005,-4.0007379163441934e-05
229.633,210.4949,-8.146138725000043,-1.885703071644979e-05
230.206,210.86096,-7.780078725000038,-1.800965935474202e-05
230.779,210.10333,-8.537708725000044,-1.9763453718427362e-05
231.352,198.35464,-20.286398725000055,-4.6959824377833916e-05
231.925,187.38832,-31.25271872500005,-7.234513146225464e-05
232.498,199.70792,-18.933118725000043,-4.382719389001255e-05
233.071,190.95535,-27.685688725000034,-6.408801768759352e-05
233.644,178.27162,-40.36941872500003,-9.344885897490592e-05
234.217,197.40876,-21.232278725000043,-4.91493879018795e-05
234.79,183.98865,-34.65238872500004,-8.02148331430092e-05
235.363,184.3454,-34.29563872500003,-7.938901296793067e-05
235.937,211.14013,-7.500908725000045,-1.7363424685431112e-05
236.51,216.04289,-2.598148725000044,-6.0143059143926415e-06
