Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
476.629	20980.69	237.9
477.202	20955.50	243.4
477.775	20930.36	243.5
478.348	20905.29	230.3
478.921	20880.27	226.4
479.494	20855.31	230.8
480.067	20830.42	233.6
480.640	20805.58	234.7
481.213	20780.80	218
481.786	20756.09	241.9
482.359	20731.43	255.8
482.933	20706.83	233.7
483.506	20682.28	227.8
484.079	20657.80	245.2
484.652	20633.37	250.1
485.225	20609.00	253.4
485.798	20584.69	232.2
486.371	20560.44	245.2
486.944	20536.24	229.4
487.517	20512.10	219.6
488.090	20488.02	225.4
488.663	20463.99	227.7
489.236	20440.02	266.3
489.809	20416.10	231.6
490.383	20392.24	232.7
490.956	20368.44	231.3
491.529	20344.69	239.1
492.102	20321.00	236.7
492.675	20297.36	247.4
493.248	20273.78	240.6
493.821	20250.25	237
494.394	20226.78	243.5
494.967	20203.36	245.7
495.540	20180.00	248.8
496.113	20156.69	245.6
496.686	20133.43	237.1
497.259	20110.23	239.7
497.833	20087.08	250.4
498.406	20063.98	238.7
498.979	20040.94	232.2
499.552	20017.95	232.7
500.125	19995.01	232.2
500.698	19972.12	238.2
501.271	19949.29	232.8
501.844	19926.51	233.1
502.417	19903.78	236.5
502.990	19881.10	227.8
503.563	19858.48	235.3
504.136	19835.90	245.6
504.709	19813.38	241.8
505.282	19790.91	238.8
505.856	19768.49	234
506.429	19746.12	232.4
507.002	19723.80	227.9
507.575	19701.53	233.6
508.148	19679.31	234.7
508.721	19657.14	223.2
509.294	19635.02	235.8
509.867	19612.95	232.4
510.440	19590.93	224.1
511.013	19568.96	247.4
511.586	19547.04	234.8
512.159	19525.17	226.7
512.732	19503.35	247.3
513.306	19481.57	239
513.879	19459.85	234.7
514.452	19438.17	225.5
515.025	19416.54	229.7
515.598	19394.96	214.5
516.171	19373.43	232.8
516.744	19351.94	217.9
517.317	19330.50	225.8
517.890	19309.11	222.8
518.463	19287.77	201.8
519.036	19266.47	239.9
519.609	19245.23	227.5
520.182	19224.02	226.8
520.756	19202.87	234.2
521.329	19181.76	241
521.902	19160.70	239.2
522.475	19139.68	238.5
523.048	19118.71	235.6
523.621	19097.79	227.5
524.194	19076.91	228.9
524.767	19056.07	218
525.340	19035.29	227
525.913	19014.54	225.8
526.486	18993.85	245.5
527.059	18973.19	233.2
527.632	18952.59	225.7
528.206	18932.02	239.2
528.779	18911.51	225.8
529.352	18891.03	234.5
529.925	18870.60	254
530.498	18850.22	261.6
531.071	18829.88	251
531.644	18809.58	229
532.217	18789.33	230.1
532.790	18769.12	238.8
533.363	18748.95	250.1
533.936	18728.83	250.2
534.509	18708.75	238.3
535.082	18688.71	245.2
535.655	18668.72	238.3
536.229	18648.76	239.1
536.802	18628.85	257
537.375	18608.99	259.9
537.948	18589.16	244
538.521	18569.38	234.2
539.094	18549.64	243.7
539.667	18529.94	250.7
540.240	18510.29	248.7
540.813	18490.67	244.7
541.386	18471.10	260.6
541.959	18451.57	234.5
542.532	18432.08	245
543.105	18412.63	252.5
543.679	18393.22	257.6
544.252	18373.85	246.9
544.825	18354.53	256.3
545.398	18335.24	269.1
545.971	18316.00	240.2
546.544	18296.79	221.5
547.117	18277.63	236.7
547.690	18258.50	270.7
548.263	18239.42	262.3
548.836	18220.37	260.4
549.409	18201.37	239.3
549.982	18182.40	233.2
550.555	18163.47	244.4
551.129	18144.59	234.1
551.702	18125.74	244.2
552.275	18106.93	224.6
552.848	18088.16	225.1
553.421	18069.43	244.8
553.994	18050.74	242.5
554.567	18032.09	238.2
555.140	18013.47	239.6
555.713	17994.90	242
556.286	17976.36	233.2
556.859	17957.86	224.2
557.432	17939.40	256.5
558.005	17920.97	240.8
558.579	17902.59	238.5
559.152	17884.24	236.5
559.725	17865.93	222.5
560.298	17847.65	222.3
560.871	17829.42	222.6
561.444	17811.22	226
562.017	17793.06	235
562.590	17774.93	233.9
563.163	17756.84	215.6
563.736	17738.79	234.1
564.309	17720.78	235.8
564.882	17702.80	222.3
565.455	17684.86	232.7
566.029	17666.95	233.4
566.602	17649.09	226.8
567.175	17631.25	220
567.748	17613.46	220.6
568.321	17595.70	215
568.894	17577.97	221.6
569.467	17560.28	223.8
570.040	17542.63	234.9
570.613	17525.01	239.2
571.186	17507.43	232.9
571.759	17489.88	227.3
572.332	17472.37	229.2
572.905	17454.89	241.6
573.478	17437.45	228.7
574.052	17420.04	227.5
574.625	17402.66	233.1
575.198	17385.33	225.7
575.771	17368.02	233.1
576.344	17350.75	230.9
576.917	17333.52	241.7
577.490	17316.32	256.9
578.063	17299.15	253.2
578.636	17282.02	237.4
579.209	17264.92	230.9
579.782	17247.85	247.7
580.355	17230.82	223.4
580.928	17213.82	232.1
581.502	17196.86	225.5
582.075	17179.93	221.4
582.648	17163.03	236.1
583.221	17146.17	223.6
583.794	17129.33	223.3
584.367	17112.54	221.7
584.940	17095.77	235.2
585.513	17079.04	252.7
586.086	17062.34	221.6
586.659	17045.67	183.9
587.232	17029.04	235.9
587.805	17012.43	233.8
588.378	16995.86	233.4
588.952	16979.33	240.9
589.525	16962.82	208.1
590.098	16946.35	227.8
590.671	16929.91	238.7
591.244	16913.50	231.6
591.817	16897.12	203
592.390	16880.77	256.7
592.963	16864.46	237.2
593.536	16848.17	218
594.109	16831.92	241.6
594.682	16815.70	223.3
595.255	16799.51	263
595.828	16783.35	188.6
596.402	16767.23	228.5
596.975	16751.13	218.8
597.548	16735.07	224
598.121	16719.03	222.7
598.694	16703.03	220.3
599.267	16687.06	212.3
599.840	16671.11	218.7
600.413	16655.20	227.9
600.986	16639.32	232
601.559	16623.47	215.4
602.132	16607.65	228.7
