Wavelength [nm]	Wavenumbers [1/cm]	Epsilons ITI-Z
548.000	18248.16	20.03
549.000	18214.92	23.88
550.000	18181.81	11.51
551.000	18148.81	10.39
552.000	18115.93	12.83
553.000	18083.17	11.82
554.000	18050.53	12.23
555.000	18018.01	11.88
556.000	17985.60	16.24
557.000	17953.31	18.58
558.000	17921.14	13.9
559.000	17889.08	15.83
560.000	17857.13	14
561.000	17825.30	9.317
562.000	17793.59	11.83
563.000	17761.98	13.66
564.000	17730.49	14.31
565.000	17699.11	9.777
566.000	17667.84	12.02
567.000	17636.68	11.01
568.000	17605.63	24.76
569.000	17574.69	9.46
570.000	17543.85	12.42
571.000	17513.13	14.67
572.000	17482.51	11.04
573.000	17452.00	20.7
574.000	17421.60	9.413
575.000	17391.30	11.49
576.000	17361.11	9.333
577.000	17331.02	11.73
578.000	17301.03	12.45
579.000	17271.15	16.84
580.000	17241.38	11.57
581.000	17211.70	16.56
582.000	17182.13	14.28
583.000	17152.66	13.57
584.000	17123.29	13.67
585.000	17094.01	12.75
586.000	17064.84	8.859
587.000	17035.77	15.22
588.000	17006.80	7.587
589.000	16977.93	12.35
590.000	16949.15	13.68
591.000	16920.47	14.7
592.000	16891.89	15.11
593.000	16863.41	20.54
594.000	16835.02	16.37
595.000	16806.72	7.389
596.000	16778.52	9.584
597.000	16750.42	6.875
598.000	16722.41	20.82
599.000	16694.49	13.24
600.000	16666.67	12.28
601.000	16638.94	8.82
602.000	16611.30	17.75
603.000	16583.75	7.266
604.000	16556.29	12.55
605.000	16528.93	13.29
606.000	16501.65	6.748
607.000	16474.47	12.23
608.000	16447.37	12.32
609.000	16420.36	11.07
610.000	16393.45	8.543
611.000	16366.62	4.125
612.000	16339.87	16.22
613.000	16313.22	14.74
614.000	16286.65	11.03
615.000	16260.17	18.58
616.000	16233.77	9.405
617.000	16207.46	9.839
618.000	16181.24	13.03
619.000	16155.09	8.92
620.000	16129.04	10.38
621.000	16103.07	15.92
622.000	16077.18	9.392
623.000	16051.37	14.01
624.000	16025.65	7.268
625.000	16000.01	14.07
626.000	15974.45	0.8451
627.000	15948.97	14.01
628.000	15923.57	12.44
629.000	15898.26	1.569
630.000	15873.02	14.81
631.000	15847.87	15.71
632.000	15822.79	8.027
633.000	15797.80	8.815
634.000	15772.88	9.552
635.000	15748.04	17.12
636.000	15723.28	13.63
637.000	15698.60	10.51
638.000	15673.99	8.034
639.000	15649.46	14.55
640.000	15625.01	9.25
641.000	15600.63	13.53
642.000	15576.33	6.759
643.000	15552.11	18.52
644.000	15527.96	9.908
645.000	15503.89	15.79
646.000	15479.89	9.099
647.000	15455.96	10.7
648.000	15432.11	11.1
649.000	15408.33	8.94
650.000	15384.63	10.98
650.999	15361.00	2.433
651.999	15337.44	17.25
652.999	15313.95	10.61
653.999	15290.53	18.75
654.999	15267.19	8.432
655.999	15243.92	7.643
656.999	15220.71	14.47
657.999	15197.58	7.131
658.999	15174.52	12.08
659.999	15151.53	11.09
660.999	15128.61	7.973
661.999	15105.75	5.46
662.999	15082.97	10.26
663.999	15060.26	14.57
664.999	15037.61	6.995
665.999	15015.03	4.072
666.999	14992.52	4.026
667.999	14970.07	14.27
668.999	14947.70	4.712
669.999	14925.39	8.491
670.999	14903.14	6.814
671.999	14880.97	6.701
672.999	14858.86	7.016
673.999	14836.81	6.867
674.999	14814.83	5.115
675.999	14792.92	12.69
676.999	14771.06	1.984
677.999	14749.28	-0.08592
678.999	14727.56	10.12
679.999	14705.90	0.7236
680.999	14684.30	12.18
681.999	14662.77	1.043
682.999	14641.31	0.6579
683.999	14619.90	3.051
684.999	14598.56	14.99
685.999	14577.28	7.845
686.999	14556.06	15.96
687.999	14534.90	0.06658
688.999	14513.81	5.398
689.999	14492.77	12.84
690.999	14471.80	1.416
691.999	14450.89	5.178
692.999	14430.03	11.2
693.999	14409.24	10.48
694.999	14388.51	6.804
695.999	14367.83	9.708
696.999	14347.22	10.38
697.999	14326.67	10.22
698.999	14306.17	12.61
699.999	14285.73	1.658
700.999	14265.35	7.5
701.999	14245.03	8.244
702.999	14224.77	5.453
703.999	14204.57	8.623
704.999	14184.42	3.047
705.999	14164.33	7.542
706.999	14144.29	9.197
707.999	14124.31	14.85
708.999	14104.39	13.08
709.999	14084.53	3.253
710.999	14064.72	10.09
711.999	14044.96	5.299
712.999	14025.27	4.125
713.999	14005.62	6.142
714.999	13986.04	6.263
715.999	13966.50	11.86
716.999	13947.02	6.125
717.999	13927.60	7.746
718.999	13908.23	9.439
719.999	13888.91	16.81
720.999	13869.65	5.198
721.999	13850.44	8.557
722.999	13831.28	9.396
723.999	13812.18	7.493
724.999	13793.13	-2.862
725.999	13774.13	7.736
726.999	13755.18	16.27
727.999	13736.29	5.307
728.999	13717.44	5.689
729.999	13698.65	6.755
730.999	13679.91	8.896
731.999	13661.23	4.107
732.999	13642.59	9.88
733.999	13624.00	3.712
734.999	13605.47	6.119
735.999	13586.98	3.473
736.999	13568.54	10.83
737.999	13550.16	11.3
738.999	13531.82	12.74
739.999	13513.54	13.43
740.999	13495.30	5.212
741.999	13477.11	10.97
742.999	13458.97	-5.157
743.999	13440.88	9.119
744.999	13422.84	6.322
745.999	13404.85	6.427
746.999	13386.91	1.588
747.999	13369.01	-4.298
748.999	13351.16	14.72
749.999	13333.36	7.36
750.999	13315.60	8.149
751.999	13297.90	0.6574
752.999	13280.24	13.75
753.999	13262.62	8.761
754.999	13245.06	8.535
755.999	13227.54	16.63
756.999	13210.06	8.645
757.999	13192.64	4.715
758.999	13175.26	-5.875
759.999	13157.92	6.609
760.999	13140.63	10.86
761.999	13123.39	4.995
762.998	13106.19	1.501
763.998	13089.03	6.984
764.998	13071.92	7.469
765.998	13054.86	5.289
766.998	13037.84	14.73
767.998	13020.86	11.01
768.998	13003.93	11.16
769.998	12987.04	16.91
770.998	12970.20	9.622
771.998	12953.39	14.74
772.998	12936.64	9.953
773.998	12919.92	5.291
774.998	12903.25	7.879
775.998	12886.62	7.754
776.998	12870.04	7.605
777.998	12853.50	8.053
778.998	12837.00	-6.132
779.998	12820.54	2.994
780.998	12804.12	3.067
781.998	12787.75	8.989
782.998	12771.42	24.49
783.998	12755.13	5.823
784.998	12738.88	0.963
785.998	12722.67	10.35
786.998	12706.51	20.41
787.998	12690.38	-13.69
788.998	12674.30	8.832
789.998	12658.26	9.64
790.998	12642.25	-11.63
791.998	12626.29	-0.03082
792.998	12610.37	6.979
793.998	12594.49	-2.565
794.998	12578.64	13.28
795.998	12562.84	4.823
796.998	12547.08	11.35
797.998	12531.36	6.598
798.998	12515.67	9.823
