Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
348.944	28657.89	0.2956	0.1483
349.521	28610.61	0.3049	0.1528
350.097	28563.48	0.3144	0.1571
350.674	28516.5	0.3243	0.1616
351.251	28469.68	0.3341	0.1665
351.828	28423.02	0.344	0.1713
352.404	28376.5	0.3534	0.1757
352.981	28330.14	0.3637	0.1803
353.558	28283.93	0.3754	0.1864
354.134	28237.87	0.3851	0.1908
354.711	28191.96	0.3957	0.1965
355.288	28146.19	0.407	0.2014
355.865	28100.58	0.4183	0.2068
356.441	28055.12	0.4288	0.2125
357.018	28009.8	0.4381	0.2166
357.595	27964.62	0.4482	0.2217
358.171	27919.6	0.458	0.2265
358.748	27874.71	0.4688	0.2318
359.325	27829.98	0.4837	0.2386
359.901	27785.38	0.494	0.244
360.478	27740.93	0.5057	0.2492
361.055	27696.62	0.5169	0.2544
361.632	27652.45	0.5288	0.2599
362.208	27608.42	0.5413	0.2654
362.785	27564.53	0.5535	0.2715
363.362	27520.78	0.5646	0.2764
363.938	27477.17	0.5755	0.2822
364.515	27433.7	0.5867	0.2878
365.092	27390.37	0.5982	0.2926
365.669	27347.17	0.6104	0.298
366.245	27304.11	0.6233	0.3042
366.822	27261.18	0.6349	0.3094
367.399	27218.39	0.6471	0.3148
367.975	27175.73	0.6611	0.3214
368.552	27133.2	0.673	0.3267
369.129	27090.81	0.6836	0.3313
369.706	27048.55	0.6952	0.3368
370.282	27006.43	0.706	0.3418
370.859	26964.43	0.7154	0.3469
371.436	26922.56	0.7286	0.3525
372.012	26880.83	0.738	0.3578
372.589	26839.22	0.7499	0.3628
373.166	26797.74	0.7602	0.368
373.743	26756.39	0.7713	0.373
374.319	26715.17	0.7778	0.3779
374.896	26674.07	0.7905	0.3822
375.473	26633.1	0.7965	0.3847
376.049	26592.26	0.8042	0.3893
376.626	26551.54	0.8174	0.3949
377.203	26510.94	0.8238	0.3994
377.779	26470.47	0.8313	0.4034
378.356	26430.12	0.8396	0.4076
378.933	26389.9	0.848	0.4113
379.51	26349.79	0.8578	0.4154
380.086	26309.81	0.8651	0.4193
380.663	26269.95	0.8727	0.4234
381.24	26230.22	0.8795	0.4273
381.816	26190.6	0.885	0.4309
382.393	26151.1	0.8916	0.4334
382.97	26111.72	0.8989	0.4369
383.547	26072.45	0.9058	0.4413
384.123	26033.31	0.9128	0.4451
384.7	25994.28	0.9191	0.4481
385.277	25955.37	0.9269	0.4509
385.853	25916.58	0.9317	0.4538
386.43	25877.9	0.9358	0.4569
387.007	25839.34	0.9437	0.4605
387.584	25800.89	0.9481	0.4633
388.16	25762.56	0.9539	0.4661
388.737	25724.34	0.963	0.4706
389.314	25686.23	0.9655	0.4727
389.89	25648.24	0.9717	0.4754
390.467	25610.35	0.9768	0.4786
391.044	25572.58	0.9861	0.4831
391.62	25534.93	0.9884	0.4852
392.197	25497.38	0.9898	0.4868
392.774	25459.94	0.9961	0.4895
393.351	25422.61	1	0.4924
393.927	25385.39	1	0.4951
394.504	25348.28	1.004	0.4966
395.081	25311.28	1.004	0.4996
395.657	25274.39	1.012	0.5027
396.234	25237.6	1.012	0.5045
396.811	25200.92	1.01	0.5052
397.388	25164.35	1.012	0.5084
397.964	25127.88	1.016	0.5113
398.541	25091.52	1.013	0.5121
399.118	25055.27	1.014	0.5143
399.694	25019.11	1.015	0.5166
400.271	24983.07	1.012	0.5168
400.848	24947.12	1.015	0.5191
401.425	24911.28	1.01	0.5199
402.001	24875.54	1.01	0.5209
402.578	24839.91	1.01	0.5231
403.155	24804.38	1.006	0.5239
403.731	24768.94	1.006	0.5253
404.308	24733.61	1.008	0.5266
404.885	24698.38	1.006	0.5281
405.462	24663.25	1.001	0.5289
406.038	24628.22	0.9968	0.5297
406.615	24593.29	0.9958	0.5306
407.192	24558.46	0.9939	0.5308
407.768	24523.73	0.9914	0.5316
408.345	24489.09	0.9899	0.5329
408.922	24454.56	0.988	0.5328
409.498	24420.12	0.9867	0.5331
410.075	24385.77	0.9838	0.5353
410.652	24351.53	0.98	0.5351
411.229	24317.37	0.9797	0.5361
411.805	24283.32	0.9764	0.5364
412.382	24249.36	0.9713	0.5352
412.959	24215.5	0.9713	0.5359
413.535	24181.72	0.97	0.5369
414.112	24148.05	0.9664	0.5372
414.689	24114.47	0.9624	0.5374
415.266	24080.98	0.9573	0.537
415.842	24047.58	0.9563	0.5376
