Wavelength [nm]	Wavenumbers [1/cm]	Intensity
383.217	26094.87	3076
383.790	26055.90	3627
384.363	26017.06	4268
384.936	25978.32	5028
385.509	25939.70	5952
386.082	25901.20	7058
386.656	25862.81	8373
387.229	25824.54	9947
387.802	25786.37	1.178E4
388.375	25748.32	1.384E4
388.948	25710.39	1.614E4
389.521	25672.56	1.87E4
390.094	25634.85	2.148E4
390.667	25597.24	2.439E4
391.240	25559.75	2.728E4
391.813	25522.36	3.008E4
392.386	25485.09	3.265E4
392.959	25447.92	3.473E4
393.532	25410.86	3.606E4
394.106	25373.91	3.678E4
394.679	25337.07	3.66E4
395.252	25300.33	3.574E4
395.825	25263.70	3.381E4
396.398	25227.18	3.16E4
396.971	25190.76	2.906E4
397.544	25154.45	2.651E4
398.117	25118.24	2.406E4
398.690	25082.13	2.197E4
399.263	25046.13	2.01E4
399.836	25010.24	1.838E4
400.409	24974.44	1.691E4
400.982	24938.75	1.556E4
401.556	24903.16	1.433E4
402.129	24867.67	1.315E4
402.702	24832.28	1.206E4
403.275	24796.99	1.106E4
403.848	24761.80	1.007E4
404.421	24726.71	9103
404.994	24691.72	8242
405.567	24656.83	7472
406.140	24622.04	6741
406.713	24587.35	6050
407.286	24552.75	5429
407.859	24518.25	4895
408.432	24483.85	4427
409.006	24449.55	4013
409.579	24415.34	3658
410.152	24381.22	3355
410.725	24347.21	3092
411.298	24313.28	2850
411.871	24279.45	2645
412.444	24245.72	2470
413.017	24212.08	2298
413.590	24178.53	2135
414.163	24145.07	2014
414.736	24111.71	1881
415.309	24078.44	1743
415.882	24045.26	1630
416.456	24012.17	1516
417.029	23979.17	1411
417.602	23946.26	1306
418.175	23913.45	1227
418.748	23880.72	1120
419.321	23848.08	1021
419.894	23815.54	961.7
420.467	23783.08	879.2
421.040	23750.71	822.4
421.613	23718.42	771.7
422.186	23686.23	734
422.759	23654.12	698.9
423.332	23622.10	649.6
423.906	23590.16	609.4
424.479	23558.31	588.9
425.052	23526.55	553.9
425.625	23494.88	525.7
426.198	23463.28	518.5
426.771	23431.78	495.7
427.344	23400.35	469.3
427.917	23369.02	457
428.490	23337.76	438.6
429.063	23306.59	429.5
429.636	23275.50	428.9
430.209	23244.50	413.6
430.782	23213.58	413.6
431.355	23182.74	414.1
431.929	23151.98	400
432.502	23121.30	388.5
433.075	23090.70	360.5
433.648	23060.19	355.3
434.221	23029.75	359.9
434.794	22999.40	362.4
435.367	22969.13	343.6
435.940	22938.93	355.9
436.513	22908.82	323.9
437.086	22878.78	301.9
437.659	22848.82	327.1
438.232	22818.94	341.3
438.805	22789.14	330.9
439.379	22759.42	313.7
439.952	22729.77	315.6
440.525	22700.20	326.3
441.098	22670.71	312.4
441.671	22641.29	295.6
442.244	22611.96	298.9
442.817	22582.69	308.4
443.390	22553.50	298
443.963	22524.39	291.1
444.536	22495.35	294.3
445.109	22466.39	314
445.682	22437.50	322.2
446.255	22408.69	300
446.829	22379.95	288.1
447.402	22351.28	290
447.975	22322.69	291.7
448.548	22294.17	298
449.121	22265.72	295.5
449.694	22237.35	295
450.267	22209.04	296.4
450.840	22180.81	281.5
451.413	22152.66	282.9
451.986	22124.57	282.9
452.559	22096.55	269.8
453.132	22068.61	281.7
453.705	22040.73	282.9
454.279	22012.93	286.3
454.852	21985.19	282.4
455.425	21957.53	277
455.998	21929.93	288.1
456.571	21902.41	293.6
457.144	21874.95	289.3
457.717	21847.56	276.4
458.290	21820.24	301.8
458.863	21792.99	285.6
459.436	21765.81	295.6
460.009	21738.69	261.9
460.582	21711.64	276
461.155	21684.66	284.3
461.729	21657.75	283.7
462.302	21630.90	278.2
462.875	21604.12	284.1
463.448	21577.41	287
464.021	21550.76	284
464.594	21524.17	278.9
465.167	21497.66	276.2
465.740	21471.20	261.7
466.313	21444.82	267
466.886	21418.50	278.4
467.459	21392.24	268.8
468.032	21366.04	270.5
468.605	21339.91	272.3
469.179	21313.85	269.5
469.752	21287.85	260.8
470.325	21261.91	270.4
470.898	21236.03	272.1
471.471	21210.22	268.6
472.044	21184.47	270.3
472.617	21158.78	280.9
473.190	21133.16	293.2
473.763	21107.59	291.9
474.336	21082.09	269.2
474.909	21056.65	248.5
475.482	21031.28	273.6
476.055	21005.96	289.2
476.628	20980.70	276.2
477.202	20955.51	280.9
477.775	20930.37	276.1
478.348	20905.29	264.9
478.921	20880.28	267.3
479.494	20855.32	267.4
480.067	20830.43	269.9
480.640	20805.59	277.2
481.213	20780.81	253.9
481.786	20756.10	276.2
482.359	20731.44	289.7
482.932	20706.83	261.1
483.505	20682.29	259.5
484.078	20657.81	275.3
484.652	20633.38	279.2
485.225	20609.01	285
485.798	20584.70	259.4
486.371	20560.45	279
