Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
288.200	34698.13	1.18E4
288.300	34686.09	1.184E4
288.400	34674.06	1.19E4
288.500	34662.05	1.194E4
288.600	34650.03	1.2E4
288.700	34638.03	1.204E4
288.800	34626.04	1.209E4
288.900	34614.05	1.214E4
289.000	34602.08	1.219E4
289.100	34590.11	1.224E4
289.200	34578.15	1.228E4
289.300	34566.19	1.234E4
289.400	34554.25	1.238E4
289.500	34542.31	1.243E4
289.600	34530.39	1.248E4
289.700	34518.47	1.254E4
289.800	34506.56	1.258E4
289.900	34494.65	1.263E4
290.000	34482.76	1.268E4
290.100	34470.87	1.273E4
290.200	34458.99	1.278E4
290.300	34447.12	1.283E4
290.400	34435.26	1.288E4
290.500	34423.41	1.293E4
290.600	34411.56	1.298E4
290.700	34399.72	1.303E4
290.800	34387.90	1.308E4
290.900	34376.07	1.313E4
291.000	34364.26	1.318E4
291.100	34352.46	1.323E4
291.200	34340.66	1.328E4
291.300	34328.87	1.333E4
291.400	34317.09	1.339E4
291.500	34305.32	1.343E4
291.600	34293.55	1.347E4
291.700	34281.80	1.353E4
291.800	34270.05	1.358E4
291.900	34258.31	1.363E4
292.000	34246.58	1.368E4
292.100	34234.85	1.373E4
292.200	34223.13	1.378E4
292.300	34211.43	1.383E4
292.400	34199.73	1.388E4
292.500	34188.03	1.393E4
292.600	34176.35	1.398E4
292.700	34164.67	1.403E4
292.800	34153.01	1.408E4
292.900	34141.35	1.412E4
293.000	34129.69	1.418E4
293.100	34118.05	1.423E4
293.200	34106.41	1.428E4
293.300	34094.78	1.432E4
293.400	34083.16	1.438E4
293.500	34071.55	1.442E4
293.600	34059.95	1.448E4
293.700	34048.35	1.452E4
293.800	34036.76	1.458E4
293.900	34025.18	1.463E4
294.000	34013.61	1.468E4
294.100	34002.04	1.473E4
294.200	33990.48	1.478E4
294.300	33978.93	1.483E4
294.400	33967.39	1.488E4
294.500	33955.86	1.493E4
294.600	33944.33	1.498E4
294.700	33932.81	1.503E4
294.800	33921.30	1.508E4
294.900	33909.80	1.513E4
295.000	33898.31	1.518E4
295.100	33886.82	1.523E4
295.200	33875.34	1.528E4
295.300	33863.87	1.534E4
295.400	33852.40	1.538E4
295.500	33840.95	1.543E4
295.600	33829.50	1.549E4
295.700	33818.06	1.554E4
295.800	33806.63	1.559E4
295.900	33795.20	1.564E4
296.000	33783.78	1.569E4
296.100	33772.37	1.573E4
296.200	33760.97	1.579E4
296.300	33749.58	1.584E4
296.400	33738.19	1.589E4
296.500	33726.81	1.594E4
296.600	33715.44	1.6E4
296.700	33704.08	1.605E4
296.800	33692.72	1.609E4
296.900	33681.37	1.615E4
297.000	33670.03	1.62E4
297.100	33658.70	1.625E4
297.200	33647.38	1.629E4
297.300	33636.06	1.635E4
297.400	33624.75	1.64E4
297.500	33613.45	1.645E4
297.600	33602.15	1.65E4
297.700	33590.86	1.656E4
297.800	33579.58	1.66E4
297.900	33568.31	1.666E4
298.000	33557.05	1.671E4
298.100	33545.79	1.676E4
298.200	33534.54	1.681E4
298.300	33523.30	1.686E4
298.400	33512.06	1.692E4
298.500	33500.84	1.696E4
298.600	33489.62	1.701E4
298.700	33478.41	1.706E4
298.800	33467.20	1.711E4
298.900	33456.01	1.717E4
299.000	33444.82	1.722E4
299.100	33433.63	1.727E4
299.200	33422.46	1.733E4
299.300	33411.29	1.738E4
299.400	33400.13	1.742E4
299.500	33388.98	1.746E4
299.600	33377.84	1.752E4
299.700	33366.70	1.757E4
299.800	33355.57	1.762E4
299.900	33344.45	1.767E4
300.000	33333.33	1.772E4
300.100	33322.23	1.777E4
300.200	33311.13	1.782E4
300.300	33300.03	1.787E4
300.400	33288.95	1.792E4
300.500	33277.87	1.797E4
300.600	33266.80	1.801E4
300.700	33255.74	1.807E4
300.800	33244.68	1.811E4
300.900	33233.63	1.816E4
301.000	33222.59	1.82E4
301.100	33211.56	1.825E4
301.200	33200.53	1.83E4
301.300	33189.51	1.834E4
301.400	33178.50	1.839E4
301.500	33167.50	1.844E4
301.600	33156.50	1.849E4
301.700	33145.51	1.854E4
301.800	33134.53	1.858E4
301.900	33123.55	1.863E4
302.000	33112.58	1.867E4
302.100	33101.62	1.872E4
302.200	33090.67	1.876E4
302.300	33079.72	1.881E4
302.400	33068.78	1.885E4
302.500	33057.85	1.89E4
302.600	33046.93	1.894E4
302.700	33036.01	1.898E4
302.800	33025.10	1.902E4
302.900	33014.20	1.906E4
303.000	33003.30	1.911E4
303.100	32992.41	1.915E4
303.200	32981.53	1.92E4
303.300	32970.66	1.925E4
303.400	32959.79	1.928E4
303.500	32948.93	1.932E4
303.600	32938.08	1.936E4
303.700	32927.23	1.941E4
303.800	32916.39	1.944E4
303.900	32905.56	1.948E4
304.000	32894.74	1.953E4
304.100	32883.92	1.956E4
304.200	32873.11	1.96E4
304.300	32862.31	1.964E4
304.400	32851.51	1.969E4
304.500	32840.72	1.972E4
304.600	32829.94	1.977E4
304.700	32819.17	1.98E4
304.800	32808.40	1.983E4
304.900	32797.64	1.987E4
305.000	32786.89	1.991E4
305.100	32776.14	1.994E4
305.200	32765.40	1.999E4
305.300	32754.67	2.002E4
305.400	32743.94	2.006E4
305.500	32733.22	2.01E4
305.600	32722.51	2.013E4
305.700	32711.81	2.017E4
305.800	32701.11	2.02E4
305.900	32690.42	2.024E4
306.000	32679.74	2.027E4
306.100	32669.06	2.031E4
306.200	32658.39	2.033E4
306.300	32647.73	2.037E4
306.400	32637.08	2.041E4
306.500	32626.43	2.044E4
306.600	32615.79	2.048E4
306.700	32605.15	2.05E4
306.800	32594.52	2.054E4
306.900	32583.90	2.057E4
307.000	32573.29	2.06E4
307.100	32562.68	2.064E4
307.200	32552.08	2.067E4
307.300	32541.49	2.071E4
307.400	32530.90	2.074E4
307.500	32520.33	2.077E4
307.600	32509.75	2.081E4
307.700	32499.19	2.084E4
307.800	32488.63	2.086E4
307.900	32478.08	2.09E4
308.000	32467.53	2.093E4
308.100	32456.99	2.096E4
308.200	32446.46	2.099E4
308.300	32435.94	2.102E4
308.400	32425.42	2.106E4
308.500	32414.91	2.109E4
308.600	32404.41	2.112E4
308.700	32393.91	2.116E4
308.800	32383.42	2.119E4
308.900	32372.94	2.121E4
309.000	32362.46	2.125E4
309.100	32351.99	2.128E4
309.200	32341.53	2.131E4
