Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
78,20240207121000,2322.047,LEDon
78,20240207121028,2350.6100000000001,LEDoff
78,20240207121029,2351.1410000000001,Measure
79,20240207121030,2352.1880000000001,LEDon
79,20240207121058,2380.75,LEDoff
79,20240207121059,2381.2820000000002,Measure
80,20240207121100,2382.328,LEDon
80,20240207121129,2410.8910000000001,LEDoff
80,20240207121129,2411.422,Measure
81,20240207121130,2412.4690000000001,LEDon
81,20240207121159,2441.0320000000002,LEDoff
81,20240207121159,2441.5630000000001,Measure
82,20240207121200,2442.6100000000001,LEDon
82,20240207121229,2471.172,LEDoff
82,20240207121229,2471.703,Measure
83,20240207121230,2472.75,LEDon
83,20240207121259,2501.3130000000001,LEDoff
83,20240207121300,2501.8440000000001,Measure
84,20240207121301,2502.8910000000001,LEDon
84,20240207121329,2531.453,LEDoff
84,20240207121330,2531.9850000000001,Measure
85,20240207121331,2533.0320000000002,LEDon
85,20240207121359,2561.5940000000001,LEDoff
85,20240207121400,2562.125,Measure
86,20240207121401,2563.172,LEDon
86,20240207121429,2591.7350000000001,LEDoff
86,20240207121430,2592.2660000000001,Measure
87,20240207121431,2593.3130000000001,LEDon
87,20240207121500,2621.875,LEDoff
87,20240207121500,2622.4070000000002,Measure
88,20240207121501,2623.453,LEDon
88,20240207121530,2652.0160000000001,LEDoff
88,20240207121530,2652.547,Measure
89,20240207121531,2653.5940000000001,LEDon
89,20240207121600,2682.1570000000002,LEDoff
89,20240207121600,2682.6880000000001,Measure
90,20240207121601,2683.7350000000001,LEDon
90,20240207121630,2712.297,LEDoff
90,20240207121631,2712.828,Measure
91,20240207121632,2713.875,LEDon
91,20240207121700,2742.4380000000001,LEDoff
91,20240207121701,2742.9690000000001,Measure
92,20240207121702,2744.0160000000001,LEDon
92,20240207121730,2772.578,LEDoff
92,20240207121731,2773.1100000000001,Measure
93,20240207121732,2774.1570000000002,LEDon
93,20240207121800,2802.7190000000001,LEDoff
93,20240207121801,2803.25,Measure
94,20240207121802,2804.297,LEDon
94,20240207121831,2832.8600000000001,LEDoff
94,20240207121831,2833.3910000000001,Measure
95,20240207121832,2834.4380000000001,LEDon
95,20240207121901,2863.0,LEDoff
95,20240207121901,2863.5320000000002,Measure
96,20240207121902,2864.578,LEDon
96,20240207121931,2893.1410000000001,LEDoff
96,20240207121931,2893.672,Measure
97,20240207121932,2894.7190000000001,LEDon
97,20240207122001,2923.2820000000002,LEDoff
97,20240207122002,2923.828,Measure
98,20240207122003,2924.875,LEDon
98,20240207122031,2953.4380000000001,LEDoff
98,20240207122032,2953.9850000000001,Measure
99,20240207122033,2955.0320000000002,LEDon
99,20240207122101,2983.5940000000001,LEDoff
99,20240207122102,2984.125,Measure
100,20240207122103,2985.172,LEDon
100,20240207122131,3013.7350000000001,LEDoff
100,20240207122132,3014.2660000000001,Measure
101,20240207122133,3015.3130000000001,LEDon
101,20240207122202,3043.875,LEDoff
101,20240207122202,3044.4070000000002,Measure
102,20240207122203,3045.453,LEDon
102,20240207122232,3074.0160000000001,LEDoff
102,20240207122232,3074.547,Measure
103,20240207122233,3075.5940000000001,LEDon
103,20240207122302,3104.1570000000002,LEDoff
103,20240207122302,3104.6880000000001,Measure
104,20240207122303,3105.7350000000001,LEDon
104,20240207122332,3134.297,LEDoff
104,20240207122333,3134.828,Measure
105,20240207122334,3135.8910000000001,LEDon
105,20240207122402,3164.453,LEDoff
105,20240207122403,3164.9850000000001,Measure
106,20240207122404,3166.0320000000002,LEDon
106,20240207122432,3194.5940000000001,LEDoff
106,20240207122433,3195.125,Measure
107,20240207122434,3196.172,LEDon
107,20240207122502,3224.7350000000001,LEDoff
107,20240207122503,3225.2660000000001,Measure
108,20240207122504,3226.3130000000001,LEDon
108,20240207122533,3254.875,LEDoff
108,20240207122533,3255.422,Measure
109,20240207122534,3256.4690000000001,LEDon
109,20240207122603,3285.0320000000002,LEDoff
109,20240207122603,3285.5630000000001,Measure
110,20240207122604,3286.6100000000001,LEDon
110,20240207122633,3315.172,LEDoff
110,20240207122633,3315.703,Measure
111,20240207122634,3316.75,LEDon
111,20240207122703,3345.3130000000001,LEDoff
111,20240207122704,3345.8440000000001,Measure
112,20240207122705,3346.8910000000001,LEDon
112,20240207122733,3375.453,LEDoff
112,20240207122734,3376.0,Measure
113,20240207122735,3377.047,LEDon
113,20240207122803,3405.6100000000001,LEDoff
113,20240207122804,3406.1410000000001,Measure
114,20240207122805,3407.1880000000001,LEDon
114,20240207122833,3435.75,LEDoff
114,20240207122834,3436.2820000000002,Measure
115,20240207122835,3437.328,LEDon
115,20240207122904,3465.8910000000001,LEDoff
115,20240207122904,3466.4380000000001,Measure
116,20240207122905,3467.4850000000001,LEDon
116,20240207122934,3496.047,LEDoff
116,20240207122934,3496.578,Measure
117,20240207122935,3497.625,LEDon
117,20240207123004,3526.1880000000001,LEDoff
117,20240207123004,3526.7190000000001,Measure
118,20240207123005,3527.7660000000001,LEDon
118,20240207123034,3556.328,LEDoff
118,20240207123035,3556.8600000000001,Measure
119,20240207123036,3557.9070000000002,LEDon
119,20240207123104,3586.4690000000001,LEDoff
119,20240207123105,3587.0,Measure
120,20240207123106,3588.047,LEDon
120,20240207123134,3616.6100000000001,LEDoff
120,20240207123135,3617.1410000000001,Measure
