Wavelength [nm]	Wavenumbers [1/cm]	Epsilons ITI-E
579.000	17271.15	57.39
580.000	17241.38	58.28
581.000	17211.70	52.41
582.000	17182.13	47.19
583.000	17152.66	53.1
584.000	17123.29	52.01
585.000	17094.01	52.9
586.000	17064.84	52.81
587.000	17035.77	49.66
588.000	17006.80	50.39
589.000	16977.93	54.96
590.000	16949.15	51.61
591.000	16920.47	52.2
592.000	16891.89	51.61
593.000	16863.41	48.82
594.000	16835.02	55.55
595.000	16806.72	52.73
596.000	16778.52	54.28
597.000	16750.42	47.13
598.000	16722.41	46.82
599.000	16694.49	49.94
600.000	16666.67	57.28
601.000	16638.94	49.87
602.000	16611.30	46.83
603.000	16583.75	48.11
604.000	16556.29	47.8
605.000	16528.93	46.25
606.000	16501.65	49.07
607.000	16474.47	55.08
608.000	16447.37	43.23
609.000	16420.36	52.84
610.000	16393.45	46.83
611.000	16366.62	48.26
612.000	16339.87	51.4
613.000	16313.22	51.19
614.000	16286.65	50.15
615.000	16260.17	46.87
616.000	16233.77	56.26
617.000	16207.46	49.39
618.000	16181.24	53.17
619.000	16155.09	49.93
620.000	16129.04	49.51
621.000	16103.07	51.21
622.000	16077.18	52.7
623.000	16051.37	51.4
624.000	16025.65	50.82
625.000	16000.01	51.4
626.000	15974.45	53.08
627.000	15948.97	51.71
628.000	15923.57	49.51
629.000	15898.26	47.09
630.000	15873.02	43.49
631.000	15847.87	48.92
632.000	15822.79	41.41
633.000	15797.80	46.6
634.000	15772.88	49.11
635.000	15748.04	48.27
636.000	15723.28	44.58
637.000	15698.60	45.71
638.000	15673.99	46.32
639.000	15649.46	43.67
640.000	15625.01	49.71
641.000	15600.63	43.98
642.000	15576.33	48.81
643.000	15552.11	55.01
644.000	15527.96	46.06
645.000	15503.89	39.86
646.000	15479.89	48.5
647.000	15455.96	46.89
648.000	15432.11	38.9
649.000	15408.33	49.12
650.000	15384.63	53.52
650.999	15361.00	54.69
651.999	15337.44	52.68
652.999	15313.95	45.66
653.999	15290.53	42.05
654.999	15267.19	39.06
655.999	15243.92	44.62
656.999	15220.71	49.2
657.999	15197.58	55.47
658.999	15174.52	44.34
659.999	15151.53	44.23
660.999	15128.61	46.58
661.999	15105.75	42.23
662.999	15082.97	40.46
663.999	15060.26	49.85
664.999	15037.61	46.63
665.999	15015.03	47.9
666.999	14992.52	44.15
667.999	14970.07	47.48
668.999	14947.70	52.34
669.999	14925.39	41.36
670.999	14903.14	50.2
671.999	14880.97	48.43
672.999	14858.86	42.55
673.999	14836.81	45.98
674.999	14814.83	50.51
675.999	14792.92	38.92
676.999	14771.06	54.27
677.999	14749.28	43.66
678.999	14727.56	48.32
679.999	14705.90	43.12
680.999	14684.30	41.55
681.999	14662.77	40.78
682.999	14641.31	34.58
683.999	14619.90	45.1
684.999	14598.56	50.4
685.999	14577.28	44.78
686.999	14556.06	42.66
687.999	14534.90	36.84
688.999	14513.81	44.12
689.999	14492.77	28.41
690.999	14471.80	34.53
691.999	14450.89	41.24
692.999	14430.03	44.98
693.999	14409.24	50.21
694.999	14388.51	44.87
695.999	14367.83	44.57
696.999	14347.22	41.52
697.999	14326.67	40.93
698.999	14306.17	46.25
699.999	14285.73	34.12
700.999	14265.35	39.43
701.999	14245.03	39.73
702.999	14224.77	42.3
703.999	14204.57	38.4
704.999	14184.42	35.82
705.999	14164.33	44.09
706.999	14144.29	34.67
707.999	14124.31	43.64
708.999	14104.39	46.87
709.999	14084.53	46.93
710.999	14064.72	47.73
711.999	14044.96	38.72
712.999	14025.27	37.13
713.999	14005.62	42.1
714.999	13986.04	40.74
715.999	13966.50	42.5
716.999	13947.02	41.54
717.999	13927.60	41.72
718.999	13908.23	39.49
719.999	13888.91	43.28
720.999	13869.65	40.02
721.999	13850.44	39.54
722.999	13831.28	40.38
723.999	13812.18	46.94
724.999	13793.13	37.48
725.999	13774.13	44.75
726.999	13755.18	33.71
727.999	13736.29	44.32
728.999	13717.44	44.3
729.999	13698.65	41.72
730.999	13679.91	41.38
731.999	13661.23	37.05
732.999	13642.59	38.61
733.999	13624.00	43.92
734.999	13605.47	42.25
735.999	13586.98	44.1
736.999	13568.54	42.34
737.999	13550.16	28.71
738.999	13531.82	46.21
739.999	13513.54	39.45
740.999	13495.30	44.74
741.999	13477.11	36.47
742.999	13458.97	46.17
743.999	13440.88	44.24
744.999	13422.84	30.39
745.999	13404.85	39.84
746.999	13386.91	43.22
747.999	13369.01	34.1
748.999	13351.16	41.55
749.999	13333.36	28.66
750.999	13315.60	40.74
751.999	13297.90	41.74
752.999	13280.24	24.43
753.999	13262.62	30.64
754.999	13245.06	29.49
755.999	13227.54	43.8
756.999	13210.06	38.16
757.999	13192.64	38.12
758.999	13175.26	36.27
759.999	13157.92	46.56
760.999	13140.63	38.72
761.999	13123.39	36.96
762.998	13106.19	35.14
763.998	13089.03	26.81
764.998	13071.92	43.33
765.998	13054.86	34.94
766.998	13037.84	36.31
767.998	13020.86	34.25
768.998	13003.93	29.5
769.998	12987.04	24.8
770.998	12970.20	25.1
771.998	12953.39	45.28
772.998	12936.64	33.82
773.998	12919.92	29.31
774.998	12903.25	34.63
775.998	12886.62	33.26
776.998	12870.04	24.79
777.998	12853.50	33.33
778.998	12837.00	28.46
779.998	12820.54	29.93
780.998	12804.12	41.3
781.998	12787.75	38.74
782.998	12771.42	32.61
783.998	12755.13	37.12
784.998	12738.88	24.03
785.998	12722.67	41.28
786.998	12706.51	35.56
787.998	12690.38	29.16
788.998	12674.30	38.72
789.998	12658.26	36.65
790.998	12642.25	40.75
791.998	12626.29	30.81
792.998	12610.37	24.19
793.998	12594.49	39.49
794.998	12578.64	41.94
795.998	12562.84	43.92
796.998	12547.08	37.69
797.998	12531.36	35.38
798.998	12515.67	22.01
