Wavelength [nm]	Wavenumbers [1/cm]	Intensity
366.025	27320.55	245
366.598	27277.84	232.3
367.171	27235.27	227.9
367.744	27192.83	230.5
368.317	27150.52	225.7
368.890	27108.34	227.7
369.463	27066.29	231.7
370.036	27024.37	225.5
370.609	26982.58	230.7
371.183	26940.93	234.4
371.756	26899.39	223.4
372.329	26857.99	242
372.902	26816.72	213.8
373.475	26775.57	238.4
374.048	26734.55	243.8
374.621	26693.65	240.6
375.194	26652.88	238.6
375.767	26612.23	234.1
376.340	26571.70	236.3
376.913	26531.30	221.9
377.486	26491.02	235.5
378.059	26450.87	247.2
378.632	26410.83	220.9
379.206	26370.92	234.4
379.779	26331.13	242.2
380.352	26291.45	240.7
380.925	26251.90	233.4
381.498	26212.47	231.7
382.071	26173.15	222.5
382.644	26133.95	234.8
383.217	26094.87	241.4
383.790	26055.90	251.1
384.363	26017.06	245.1
384.936	25978.32	226.3
385.509	25939.70	228.2
386.082	25901.20	226.8
386.656	25862.81	221
387.229	25824.54	232.6
387.802	25786.37	245.6
388.375	25748.32	247
388.948	25710.39	238.4
389.521	25672.56	232.8
390.094	25634.85	229.6
390.667	25597.24	235
391.240	25559.75	247.8
391.813	25522.36	252.4
392.386	25485.09	263.7
392.959	25447.92	251.2
393.532	25410.86	239.9
394.106	25373.91	223.7
394.679	25337.07	224.5
395.252	25300.33	282.9
395.825	25263.70	243.2
396.398	25227.18	246.9
396.971	25190.76	257.9
397.544	25154.45	245.2
398.117	25118.24	232.1
398.690	25082.13	260.7
399.263	25046.13	260.7
399.836	25010.24	258.7
400.409	24974.44	270.2
400.982	24938.75	251
401.556	24903.16	251.7
402.129	24867.67	245.2
402.702	24832.28	242
403.275	24796.99	259.2
403.848	24761.80	257.2
404.421	24726.71	242.7
404.994	24691.72	246.5
405.567	24656.83	266.1
406.140	24622.04	284.9
406.713	24587.35	287.4
407.286	24552.75	283.1
407.859	24518.25	294.9
408.432	24483.85	304.9
409.006	24449.55	300.2
409.579	24415.34	309
410.152	24381.22	324.2
410.725	24347.21	343.7
411.298	24313.28	352.1
411.871	24279.45	358.7
412.444	24245.72	383.2
413.017	24212.08	390.8
413.590	24178.53	405.2
414.163	24145.07	450
414.736	24111.71	469.1
415.309	24078.44	482.5
415.882	24045.26	520.8
416.456	24012.17	550.5
417.029	23979.17	594.6
417.602	23946.26	640.3
418.175	23913.45	705.9
418.748	23880.72	739.1
419.321	23848.08	782.3
419.894	23815.54	865.4
420.467	23783.08	926.4
421.040	23750.71	1013
421.613	23718.42	1104
422.186	23686.23	1209
422.759	23654.12	1317
423.332	23622.10	1414
423.906	23590.16	1529
424.479	23558.31	1670
425.052	23526.55	1802
425.625	23494.88	1943
426.198	23463.28	2109
426.771	23431.78	2269
427.344	23400.35	2451
427.917	23369.02	2660
428.490	23337.76	2854
429.063	23306.59	3081
429.636	23275.50	3340
430.209	23244.50	3593
430.782	23213.58	3884
431.355	23182.74	4201
431.929	23151.98	4538
432.502	23121.30	4885
433.075	23090.70	5263
433.648	23060.19	5717
434.221	23029.75	6189
434.794	22999.40	6713
435.367	22969.13	7236
435.940	22938.93	7906
436.513	22908.82	8548
437.086	22878.78	9332
437.659	22848.82	1.02E4
438.232	22818.94	1.116E4
438.805	22789.14	1.213E4
439.379	22759.42	1.318E4
439.952	22729.77	1.43E4
440.525	22700.20	1.55E4
441.098	22670.71	1.672E4
441.671	22641.29	1.788E4
442.244	22611.96	1.904E4
442.817	22582.69	2.016E4
443.390	22553.50	2.113E4
443.963	22524.39	2.184E4
444.536	22495.35	2.231E4
445.109	22466.39	2.27E4
445.682	22437.50	2.283E4
446.255	22408.69	2.253E4
446.829	22379.95	2.202E4
447.402	22351.28	2.126E4
447.975	22322.69	2.028E4
448.548	22294.17	1.917E4
449.121	22265.72	1.79E4
449.694	22237.35	1.658E4
450.267	22209.04	1.528E4
450.840	22180.81	1.4E4
451.413	22152.66	1.282E4
451.986	22124.57	1.179E4
452.559	22096.55	1.082E4
453.132	22068.61	1.003E4
453.705	22040.73	9352
454.279	22012.93	8773
454.852	21985.19	8297
455.425	21957.53	7902
455.998	21929.93	7609
456.571	21902.41	7338
457.144	21874.95	7111
457.717	21847.56	6842
458.290	21820.24	6607
458.863	21792.99	6385
459.436	21765.81	6147
460.009	21738.69	5868
460.582	21711.64	5607
461.155	21684.66	5353
461.729	21657.75	5056
462.302	21630.90	4771
462.875	21604.12	4468
463.448	21577.41	4173
464.021	21550.76	3875
464.594	21524.17	3583
465.167	21497.66	3315
465.740	21471.20	3035
466.313	21444.82	2808
466.886	21418.50	2621
467.459	21392.24	2427
468.032	21366.04	2267
468.605	21339.91	2123
469.179	21313.85	1985
469.752	21287.85	1860
470.325	21261.91	1771
470.898	21236.03	1687
471.471	21210.22	1607
472.044	21184.47	1542
472.617	21158.78	1487
473.190	21133.16	1438
473.763	21107.59	1385
474.336	21082.09	1310
474.909	21056.65	1238
475.482	21031.28	1215
476.055	21005.96	1181
476.628	20980.70	1117
477.202	20955.51	1072
477.775	20930.37	1020
478.348	20905.29	961.1
478.921	20880.28	915.3
479.494	20855.32	871.2
480.067	20830.43	829.3
480.640	20805.59	795.6
481.213	20780.81	732
481.786	20756.10	712.2
482.359	20731.44	689.3
482.932	20706.83	628.3
483.505	20682.29	593.3
484.078	20657.81	579.4
484.652	20633.38	561.1
485.225	20609.01	542.2
485.798	20584.70	497.1
486.371	20560.45	497.9
486.944	20536.25	467.2
487.517	20512.11	437.3
