Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
365.452	27363.37	57.86
366.025	27320.53	58.15
366.598	27277.82	48.96
367.171	27235.24	48.56
367.744	27192.80	56.36
368.317	27150.49	58.57
368.891	27108.31	68.36
369.464	27066.27	80.85
370.037	27024.35	83.47
370.610	26982.56	99.67
371.183	26940.90	118.6
371.756	26899.37	121.5
372.329	26857.97	155.4
372.902	26816.69	151
373.475	26775.54	197.6
374.048	26734.52	232
374.621	26693.63	260.4
375.194	26652.85	299
375.767	26612.21	341
376.341	26571.68	400.6
376.914	26531.28	450
377.487	26491.00	538.8
378.060	26450.85	644.8
378.633	26410.81	726.6
379.206	26370.90	866.8
379.779	26331.11	1034
380.352	26291.43	1215
380.925	26251.88	1421
381.498	26212.44	1677
382.071	26173.13	1982
382.644	26133.93	2354
383.217	26094.85	2803
383.790	26055.88	3355
384.364	26017.03	3996
384.937	25978.30	4756
385.510	25939.68	5680
386.083	25901.18	6787
386.656	25862.79	8100
387.229	25824.52	9674
387.802	25786.35	1.151E4
388.375	25748.30	1.357E4
388.948	25710.37	1.587E4
389.521	25672.54	1.843E4
390.094	25634.83	2.121E4
390.667	25597.22	2.412E4
391.240	25559.73	2.701E4
391.814	25522.34	2.981E4
392.387	25485.07	3.238E4
392.960	25447.90	3.446E4
393.533	25410.84	3.579E4
394.106	25373.89	3.651E4
394.679	25337.05	3.633E4
395.252	25300.31	3.547E4
395.825	25263.68	3.354E4
396.398	25227.16	3.133E4
396.971	25190.74	2.879E4
397.544	25154.43	2.624E4
398.117	25118.22	2.379E4
398.690	25082.12	2.17E4
399.264	25046.11	1.983E4
399.837	25010.22	1.811E4
400.410	24974.42	1.664E4
400.983	24938.73	1.529E4
401.556	24903.14	1.406E4
402.129	24867.65	1.288E4
402.702	24832.26	1.179E4
403.275	24796.97	1.079E4
403.848	24761.78	9797
404.421	24726.69	8830
404.994	24691.71	7968
405.567	24656.82	7198
406.140	24622.02	6466
406.714	24587.33	5775
407.287	24552.74	5155
407.860	24518.24	4621
408.433	24483.84	4153
409.006	24449.53	3740
409.579	24415.32	3385
410.152	24381.21	3082
410.725	24347.19	2819
411.298	24313.26	2577
411.871	24279.43	2372
412.444	24245.70	2197
413.017	24212.06	2025
413.590	24178.51	1862
414.164	24145.05	1741
414.737	24111.69	1608
415.310	24078.42	1470
415.883	24045.24	1357
416.456	24012.15	1243
417.029	23979.15	1138
417.602	23946.25	1033
418.175	23913.43	953.9
418.748	23880.70	846.8
419.321	23848.07	747.8
419.894	23815.52	688.5
420.467	23783.06	606
421.040	23750.69	549.2
421.613	23718.41	498.5
422.187	23686.21	460.8
422.760	23654.10	425.7
423.333	23622.08	376.4
423.906	23590.15	336.3
424.479	23558.30	315.8
425.052	23526.54	280.8
425.625	23494.86	252.6
426.198	23463.27	245.4
426.771	23431.76	222.5
427.344	23400.34	196.2
427.917	23369.00	183.8
428.490	23337.75	165.5
429.063	23306.58	156.4
429.637	23275.49	155.7
430.210	23244.48	140.5
430.783	23213.56	140.5
431.356	23182.72	140.9
431.929	23151.96	126.9
432.502	23121.28	115.4
433.075	23090.69	87.36
433.648	23060.17	82.16
434.221	23029.74	86.76
434.794	22999.39	89.24
435.367	22969.11	70.47
435.940	22938.92	82.72
436.513	22908.80	50.72
437.087	22878.76	28.8
437.660	22848.81	53.95
438.233	22818.93	68.13
438.806	22789.13	57.73
439.379	22759.40	40.56
439.952	22729.76	42.46
440.525	22700.19	53.16
441.098	22670.70	39.26
441.671	22641.28	22.46
442.244	22611.94	25.76
442.817	22582.68	35.24
443.390	22553.49	24.85
443.963	22524.38	17.96
444.537	22495.34	21.19
445.110	22466.38	40.85
445.683	22437.49	49.03
446.256	22408.68	26.85
446.829	22379.94	14.96
447.402	22351.27	16.86
447.975	22322.68	18.56
448.548	22294.16	24.86
449.121	22265.71	22.36
449.694	22237.33	21.86
450.267	22209.03	23.24
450.840	22180.80	8.358
451.413	22152.64	9.756
451.987	22124.55	9.734
452.560	22096.54	-3.322
453.133	22068.59	8.551
453.706	22040.72	9.759
454.279	22012.91	13.15
454.852	21985.18	9.258
455.425	21957.51	3.857
455.998	21929.92	14.96
456.571	21902.39	20.46
457.144	21874.94	16.15
457.717	21847.55	3.278
458.290	21820.23	28.64
458.863	21792.98	12.47
459.436	21765.79	22.4
460.010	21738.68	-11.2
460.583	21711.63	2.856
461.156	21684.65	11.16
461.729	21657.74	10.56
462.302	21630.89	5.059
462.875	21604.11	10.96
463.448	21577.39	13.86
464.021	21550.74	10.86
464.594	21524.16	5.755
465.167	21497.64	3.045
465.740	21471.19	-11.44
466.313	21444.81	-6.128
466.886	21418.48	5.241
467.460	21392.23	-4.334
468.033	21366.03	-2.643
468.606	21339.90	-0.848
469.179	21313.84	-3.642
